category_id,category_name,category_path,parent_category_id,parent_category_path,depth,root_category_name,term_count,direct_term_count,source,review_status
CAT_00037,교육행정,교육>교육행정,CAT_00002,교육,2,교육,28,28,history_terms.term_lk,PENDING
CAT_00038,근대교육기관,교육>근대교육기관,CAT_00002,교육,2,교육,2330,27,history_terms.term_lk,PENDING
CAT_00039,전근대교육기관,교육>전근대교육기관,CAT_00002,교육,2,교육,925,925,history_terms.term_lk,PENDING
CAT_00040,해외유학,교육>해외유학,CAT_00002,교육,2,교육,2,2,history_terms.term_lk,PENDING
CAT_00041,교통관련제도,교통·통신>교통관련제도,CAT_00003,교통·통신,2,교통·통신,7,7,history_terms.term_lk,PENDING
CAT_00042,교통기관·단체,교통·통신>교통기관·단체,CAT_00003,교통·통신,2,교통·통신,29,29,history_terms.term_lk,PENDING
CAT_00043,교통로,교통·통신>교통로,CAT_00003,교통·통신,2,교통·통신,216,216,history_terms.term_lk,PENDING
CAT_00044,교통수단,교통·통신>교통수단,CAT_00003,교통·통신,2,교통·통신,65,65,history_terms.term_lk,PENDING
CAT_00045,교통시설,교통·통신>교통시설,CAT_00003,교통·통신,2,교통·통신,654,654,history_terms.term_lk,PENDING
CAT_00046,통신·우편,교통·통신>통신·우편,CAT_00003,교통·통신,2,교통·통신,31,31,history_terms.term_lk,PENDING
CAT_00047,통신기관·단체,교통·통신>통신기관·단체,CAT_00003,교통·통신,2,교통·통신,13,13,history_terms.term_lk,PENDING
CAT_00048,국방사상·정책,국방·군사>국방사상·정책,CAT_00004,국방·군사,2,국방·군사,74,74,history_terms.term_lk,PENDING
CAT_00049,군,국방·군사>군,CAT_00004,국방·군사,2,국방·군사,565,10,history_terms.term_lk,PENDING
CAT_00050,군사기구,국방·군사>군사기구,CAT_00004,국방·군사,2,국방·군사,235,235,history_terms.term_lk,PENDING
CAT_00051,군사기술,국방·군사>군사기술,CAT_00004,국방·군사,2,국방·군사,44,44,history_terms.term_lk,PENDING
CAT_00052,군사방어시설,국방·군사>군사방어시설,CAT_00004,국방·군사,2,국방·군사,602,602,history_terms.term_lk,PENDING
CAT_00053,군사법령,국방·군사>군사법령,CAT_00004,국방·군사,2,국방·군사,12,12,history_terms.term_lk,PENDING
CAT_00054,군사사건,국방·군사>군사사건,CAT_00004,국방·군사,2,국방·군사,20,20,history_terms.term_lk,PENDING
CAT_00055,군수품,국방·군사>군수품,CAT_00004,국방·군사,2,국방·군사,447,0,history_terms.term_lk,PENDING
CAT_00056,군역,국방·군사>군역,CAT_00004,국방·군사,2,국방·군사,84,84,history_terms.term_lk,PENDING
CAT_00057,군직,국방·군사>군직,CAT_00004,국방·군사,2,국방·군사,528,528,history_terms.term_lk,PENDING
CAT_00058,전략·전술,국방·군사>전략·전술,CAT_00004,국방·군사,2,국방·군사,33,33,history_terms.term_lk,PENDING
CAT_00059,전쟁·전투,국방·군사>전쟁·전투,CAT_00004,국방·군사,2,국방·군사,260,260,history_terms.term_lk,PENDING
CAT_00060,기념물,문화·예술>기념물,CAT_00005,문화·예술,2,문화·예술,1,1,history_terms.term_lk,PENDING
CAT_00061,문학,문화·예술>문학,CAT_00005,문화·예술,2,문화·예술,821,821,history_terms.term_lk,PENDING
CAT_00062,문화기구·단체,문화·예술>문화기구·단체,CAT_00005,문화·예술,2,문화·예술,312,312,history_terms.term_lk,PENDING
CAT_00063,문화시설,문화·예술>문화시설,CAT_00005,문화·예술,2,문화·예술,203,203,history_terms.term_lk,PENDING
CAT_00064,문화정책,문화·예술>문화정책,CAT_00005,문화·예술,2,문화·예술,26,26,history_terms.term_lk,PENDING
CAT_00065,문화행사,문화·예술>문화행사,CAT_00005,문화·예술,2,문화·예술,52,52,history_terms.term_lk,PENDING
CAT_00066,미술,문화·예술>미술,CAT_00005,문화·예술,2,문화·예술,1574,1574,history_terms.term_lk,PENDING
CAT_00067,언론·출판,문화·예술>언론·출판,CAT_00005,문화·예술,2,문화·예술,446,446,history_terms.term_lk,PENDING
CAT_00068,유물,문화·예술>유물,CAT_00005,문화·예술,2,문화·예술,1,1,history_terms.term_lk,PENDING
CAT_00069,유적,문화·예술>유적,CAT_00005,문화·예술,2,문화·예술,271,271,history_terms.term_lk,PENDING
CAT_00070,음악,문화·예술>음악,CAT_00005,문화·예술,2,문화·예술,696,696,history_terms.term_lk,PENDING
CAT_00071,종합예술,문화·예술>종합예술,CAT_00005,문화·예술,2,문화·예술,423,423,history_terms.term_lk,PENDING
CAT_00072,체육·스포츠,문화·예술>체육·스포츠,CAT_00005,문화·예술,2,문화·예술,48,48,history_terms.term_lk,PENDING
CAT_00073,가족·친족,사회·생활>가족·친족,CAT_00007,사회·생활,2,사회·생활,228,0,history_terms.term_lk,PENDING
CAT_00074,관광지,사회·생활>관광지,CAT_00007,사회·생활,2,사회·생활,31,31,history_terms.term_lk,PENDING
CAT_00075,마을·촌락,사회·생활>마을·촌락,CAT_00007,사회·생활,2,사회·생활,46,46,history_terms.term_lk,PENDING
CAT_00076,보건·복지,사회·생활>보건·복지,CAT_00007,사회·생활,2,사회·생활,261,0,history_terms.term_lk,PENDING
CAT_00077,사회단체,사회·생활>사회단체,CAT_00007,사회·생활,2,사회·생활,157,0,history_terms.term_lk,PENDING
CAT_00078,사회사건·사고,사회·생활>사회사건·사고,CAT_00007,사회·생활,2,사회·생활,14,14,history_terms.term_lk,PENDING
CAT_00079,신분·계급,사회·생활>신분·계급,CAT_00007,사회·생활,2,사회·생활,400,400,history_terms.term_lk,PENDING
CAT_00080,유람·여행,사회·생활>유람·여행,CAT_00007,사회·생활,2,사회·생활,3,3,history_terms.term_lk,PENDING
CAT_00081,일상생활,사회·생활>일상생활,CAT_00007,사회·생활,2,사회·생활,1140,0,history_terms.term_lk,PENDING
CAT_00082,자연현상·재해,사회·생활>자연현상·재해,CAT_00007,사회·생활,2,사회·생활,83,0,history_terms.term_lk,PENDING
CAT_00083,직업,사회·생활>직업,CAT_00007,사회·생활,2,사회·생활,55,55,history_terms.term_lk,PENDING
CAT_00084,취미·오락,사회·생활>취미·오락,CAT_00007,사회·생활,2,사회·생활,65,65,history_terms.term_lk,PENDING
CAT_00085,풍속·의례,사회·생활>풍속·의례,CAT_00007,사회·생활,2,사회·생활,1690,0,history_terms.term_lk,PENDING
CAT_00086,농민운동·항쟁,사회운동·독립운동>농민운동·항쟁,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,226,226,history_terms.term_lk,PENDING
CAT_00087,독립운동,사회운동·독립운동>독립운동,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,969,0,history_terms.term_lk,PENDING
CAT_00088,사회사상,사회운동·독립운동>사회사상,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,27,27,history_terms.term_lk,PENDING
CAT_00089,사회운동,사회운동·독립운동>사회운동,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,933,156,history_terms.term_lk,PENDING
CAT_00090,일본제국주의,사회운동·독립운동>일본제국주의,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,299,0,history_terms.term_lk,PENDING
CAT_00091,천민운동·항쟁,사회운동·독립운동>천민운동·항쟁,CAT_00008,사회운동·독립운동,2,사회운동·독립운동,23,23,history_terms.term_lk,PENDING
CAT_00092,시대별,서명>시대별,CAT_00009,서명,2,서명,1,0,history_terms.term_lk,PENDING
CAT_00093,유형별,서명>유형별,CAT_00009,서명,2,서명,61,0,history_terms.term_lk,PENDING
CAT_00094,국가,역사일반>국가,CAT_00010,역사일반,2,역사일반,336,12,history_terms.term_lk,PENDING
CAT_00095,시기·시대,역사일반>시기·시대,CAT_00010,역사일반,2,역사일반,48,48,history_terms.term_lk,PENDING
CAT_00096,왕호,역사일반>왕호,CAT_00010,역사일반,2,역사일반,60,60,history_terms.term_lk,PENDING
CAT_00097,종족·부족,역사일반>종족·부족,CAT_00010,역사일반,2,역사일반,86,86,history_terms.term_lk,PENDING
CAT_00098,국제기구,외교·국제관계>국제기구,CAT_00011,외교·국제관계,2,외교·국제관계,47,47,history_terms.term_lk,PENDING
CAT_00099,기타지역,외교·국제관계>기타지역,CAT_00011,외교·국제관계,2,외교·국제관계,41,0,history_terms.term_lk,PENDING
CAT_00100,러시아,외교·국제관계>러시아,CAT_00011,외교·국제관계,2,외교·국제관계,45,0,history_terms.term_lk,PENDING
CAT_00101,미국,외교·국제관계>미국,CAT_00011,외교·국제관계,2,외교·국제관계,27,0,history_terms.term_lk,PENDING
CAT_00102,북한,외교·국제관계>북한,CAT_00011,외교·국제관계,2,외교·국제관계,1122,0,history_terms.term_lk,PENDING
CAT_00103,외교기관·사절,외교·국제관계>외교기관·사절,CAT_00011,외교·국제관계,2,외교·국제관계,206,206,history_terms.term_lk,PENDING
CAT_00104,외교분쟁,외교·국제관계>외교분쟁,CAT_00011,외교·국제관계,2,외교·국제관계,38,38,history_terms.term_lk,PENDING
CAT_00105,외교사상·정책,외교·국제관계>외교사상·정책,CAT_00011,외교·국제관계,2,외교·국제관계,117,117,history_terms.term_lk,PENDING
CAT_00106,외교협상·협약,외교·국제관계>외교협상·협약,CAT_00011,외교·국제관계,2,외교·국제관계,184,14,history_terms.term_lk,PENDING
CAT_00107,일본,외교·국제관계>일본,CAT_00011,외교·국제관계,2,외교·국제관계,160,0,history_terms.term_lk,PENDING
CAT_00108,재외동포·단체,외교·국제관계>재외동포·단체,CAT_00011,외교·국제관계,2,외교·국제관계,91,91,history_terms.term_lk,PENDING
CAT_00109,재한외국인,외교·국제관계>재한외국인,CAT_00011,외교·국제관계,2,외교·국제관계,3,3,history_terms.term_lk,PENDING
CAT_00110,중국,외교·국제관계>중국,CAT_00011,외교·국제관계,2,외교·국제관계,265,0,history_terms.term_lk,PENDING
CAT_00111,성격별,인명>성격별,CAT_00012,인명,2,인명,251,1,history_terms.term_lk,PENDING
CAT_00112,물가,재정·금융>물가,CAT_00013,재정·금융,2,재정·금융,2,2,history_terms.term_lk,PENDING
CAT_00113,임금·소득,재정·금융>임금·소득,CAT_00013,재정·금융,2,재정·금융,51,51,history_terms.term_lk,PENDING
CAT_00114,재정,재정·금융>재정,CAT_00013,재정·금융,2,재정·금융,675,0,history_terms.term_lk,PENDING
CAT_00115,주식(재정·금융),재정·금융>주식(재정·금융),CAT_00013,재정·금융,2,재정·금융,2,2,history_terms.term_lk,PENDING
CAT_00116,화폐·금융,재정·금융>화폐·금융,CAT_00013,재정·금융,2,재정·금융,338,70,history_terms.term_lk,PENDING
CAT_00117,개신교,전통사상·종교>개신교,CAT_00014,전통사상·종교,2,전통사상·종교,101,0,history_terms.term_lk,PENDING
CAT_00118,기타종교,전통사상·종교>기타종교,CAT_00014,전통사상·종교,2,전통사상·종교,104,104,history_terms.term_lk,PENDING
CAT_00119,대종교,전통사상·종교>대종교,CAT_00014,전통사상·종교,2,전통사상·종교,28,28,history_terms.term_lk,PENDING
CAT_00120,도교,전통사상·종교>도교,CAT_00014,전통사상·종교,2,전통사상·종교,72,0,history_terms.term_lk,PENDING
CAT_00121,동학(천도교),전통사상·종교>동학(천도교),CAT_00014,전통사상·종교,2,전통사상·종교,92,0,history_terms.term_lk,PENDING
CAT_00122,무교·민간신앙,전통사상·종교>무교·민간신앙,CAT_00014,전통사상·종교,2,전통사상·종교,324,324,history_terms.term_lk,PENDING
CAT_00123,불교,전통사상·종교>불교,CAT_00014,전통사상·종교,2,전통사상·종교,1980,0,history_terms.term_lk,PENDING
CAT_00124,유교,전통사상·종교>유교,CAT_00014,전통사상·종교,2,전통사상·종교,372,0,history_terms.term_lk,PENDING
CAT_00125,종교기관·단체,전통사상·종교>종교기관·단체,CAT_00014,전통사상·종교,2,전통사상·종교,132,132,history_terms.term_lk,PENDING
CAT_00126,종교정책,전통사상·종교>종교정책,CAT_00014,전통사상·종교,2,전통사상·종교,16,16,history_terms.term_lk,PENDING
CAT_00127,천주교(서학),전통사상·종교>천주교(서학),CAT_00014,전통사상·종교,2,전통사상·종교,67,0,history_terms.term_lk,PENDING
CAT_00128,풍수·도참,전통사상·종교>풍수·도참,CAT_00014,전통사상·종교,2,전통사상·종교,66,66,history_terms.term_lk,PENDING
CAT_00129,법·법령,정치·행정·법제>법·법령,CAT_00015,정치·행정·법제,2,정치·행정·법제,381,381,history_terms.term_lk,PENDING
