rank,term_id,topic,source_era,pdf_hit_total,pdf_source_count,pdf_score,hits_에듀윌_한국사능력검정시험_빈출개념요약집_저작권_에듀윌_,hits_벼락치기_한능검_2026_심화_필수개념_노트,hits_한능검_심화1급_정리최종,hits_최태성_별별한국사_필기_공유용,topic_type,neo4j_entity_types,neo4j_themes,neo4j_eras
87,tg_003_2590,서학,조선 시대,5,3,65,3,0,1,1,사상·종교,,,고려시대|조선후기
88,tg_001_0300,설총,삼국 시대,5,3,65,0,1,1,3,인물,,,남북국시대
89,tg_003_1710,송상,조선 시대,5,3,65,2,1,0,2,단체,,,고려시대-조선시대
90,tg_004_2350,어린이,근대,5,3,65,2,0,2,1,문헌,,,일제시기
91,tg_003_0510,의창,고려 시대,5,3,65,0,1,1,3,기타,,,고려시대-조선시대
92,tg_002_0380,정방,고려 시대,5,3,65,0,1,2,2,기타,,,통시대|고려후기
93,tg_003_0680,향교,조선 시대,5,3,65,1,0,2,2,기타,,,고려시대-조선시대
94,tg_004_1470,황성신문,근대,5,3,65,2,0,1,2,기타,,,근대
95,tg_002_0400,12목,고려 시대,4,3,64,1,0,1,2,기타,,,고려전기
96,tg_001_0380,15부,통일 신라와 발해,4,3,64,1,0,1,2,기타,,,남북국시대
97,tg_002_0200,건원중보,고려 시대,4,3,64,2,1,1,0,기타,,,고려시대
98,tg_003_0920,관찰사,조선 시대,4,3,64,1,0,1,2,기타,,,근세-근대
99,tg_003_2340,기유약조,조선 시대,4,3,64,0,1,2,1,기타,,,조선후기
100,tg_003_1760,내상,조선 시대,4,3,64,1,0,1,2,단체,,,조선시대
101,tg_003_1000,동국통감,조선 시대,4,3,64,2,0,1,1,문헌,,,조선전기
102,tg_004_0380,방곡령,근대,4,3,64,0,1,1,2,제도,,,개항기
103,tg_004_0510,수신사,근대,4,3,64,1,0,1,2,기타,,,개항기
104,tg_002_0720,승과,고려 시대,4,3,64,1,1,0,2,기타,,,고려시대-조선시대
105,tg_003_1260,승정원,조선 시대,4,3,64,2,0,1,1,기타,,,조선시대
106,tg_002_0750,쌍성총관부,고려 시대,4,3,64,2,1,0,1,기타,,,고려후기
107,tg_002_0790,양현고,고려 시대,4,3,64,0,1,2,1,단체,,,고려시대|조선시대
108,tg_003_2030,영정법,조선 시대,4,3,64,0,2,1,1,기타,,,조선후기
109,tg_003_1370,유향소,조선 시대,4,3,64,1,0,1,2,단체,,,조선전기
110,tg_002_0250,이규보,고려 시대,4,3,64,0,1,1,2,인물,,,고려후기
111,tg_001_0900,진대법,삼국 시대,4,3,64,2,0,1,1,기타,,,삼국시대
112,tg_003_0650,춘추관,고려 시대,4,3,64,1,0,1,2,기타,,,조선시대|고려시대
113,tg_002_1120,팔관회,고려 시대,4,3,64,2,0,1,1,기타,,,고대-고려시대
114,tg_003_0720,현량과,조선 시대,4,3,64,0,1,1,2,기타,,,조선전기
115,tg_001_0350,화왕계,통일 신라와 발해,4,3,64,0,1,1,2,기타,,,남북국시대
116,tg_003_2220,훈련도감,조선 시대,4,3,64,0,1,1,2,기타,,,조선후기
117,tg_001_0410,22담로,삼국 시대,3,3,63,1,0,1,1,기타,,,삼국시대
118,tg_003_0840,갑자사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기
119,tg_003_0890,계해약조,조선 시대,3,3,63,0,1,1,1,기타,,,조선전기
120,tg_002_0520,광군,고려 시대,3,3,63,0,1,1,1,기타,,,고려전기
121,tg_001_0990,국내성,삼국 시대,3,3,63,1,0,1,1,기타,,,
122,tg_003_0940,기묘사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기
123,tg_001_0620,내성,삼국 시대,3,3,63,1,0,1,1,기타,,,고대|통시대|고대-조선시대
124,tg_001_0290,도선,통일 신라와 발해,3,3,63,1,1,0,1,인물,,,조선시대|남북국시대
125,tg_002_0180,돈오점수,고려 시대,3,3,63,0,1,1,1,사상·종교,,,통시대
126,tg_002_0290,동명왕편,고려 시대,3,3,63,1,1,1,0,기타,,,고려후기
127,tg_003_1030,무오사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기
128,tg_003_1860,삼정이정청,조선 시대,3,3,63,0,1,1,1,기타,,,조선후기
129,tg_002_1140,수선사,고려 시대,3,3,63,0,1,1,1,사건,,,고려후기
130,tg_004_0850,전환국,근대,3,3,63,1,0,1,1,단체,,,근대
131,tg_002_0110,제왕운기,고려 시대,3,3,63,1,1,0,1,문헌,,,고려후기
132,tg_003_1430,조선경국전,조선 시대,3,3,63,0,1,1,1,문헌,,,조선전기
133,tg_001_0240,천마총,삼국 시대,3,3,63,1,0,1,1,기타,,,삼국시대
134,tg_003_2890,초계문신제,조선 시대,3,3,63,0,1,1,1,사상·종교,,,조선시대
135,tg_002_0140,해동고승전,고려 시대,3,3,63,0,1,1,1,문헌,,,고려후기
136,tg_002_0960,혜민국,고려 시대,3,3,63,0,1,1,1,기타,,,고려시대
137,tg_001_0330,흑치상지,삼국 시대,3,3,63,1,1,1,0,인물,,,삼국시대
138,tg_003_0430,양인,조선 시대,9,2,49,6,0,0,3,기타,,,
139,tg_003_0810,간의,조선 시대,8,2,48,7,0,1,0,기타,,,조선시대
140,tg_001_0470,6부,삼국 시대,7,2,47,0,0,2,5,기타,,,고려후기|남북국시대|삼국시대
141,tg_001_0880,중시,삼국 시대,7,2,47,5,0,2,0,기타,,,조선시대|고대|고려시대
142,tg_003_0800,6진,조선 시대,6,2,46,5,0,0,1,기타,,,조선전기
143,tg_003_0060,공납,조선 시대,6,2,46,0,0,2,4,제도,,,남북국시대-조선시대
144,tg_002_1130,연등회,고려 시대,6,2,46,4,0,0,2,사건,,,고려시대
145,tg_003_1140,사림,조선 시대,5,2,45,0,1,0,4,단체,,,고려후기-조선시대
146,tg_003_0580,종묘,조선 시대,5,2,45,3,0,0,2,문화재,,,조선전기
147,tg_002_1050,9성,고려 시대,4,2,44,3,0,1,0,기타,,,고려전기|통시대
148,tg_003_0860,경연,조선 시대,4,2,44,0,0,2,2,기타,,,고려시대-조선시대
149,tg_001_0600,국학,삼국 시대,4,2,44,1,0,0,3,기타,,,남북국시대|일제시기-현대|고려후기
150,tg_003_0130,군역,조선 시대,4,2,44,0,1,0,3,제도,,,통시대
151,tg_004_1690,권업회,근대,4,2,44,0,0,3,1,기타,,,
152,tg_003_1660,난전,조선 시대,4,2,44,0,1,0,3,기타,,,조선시대
153,tg_001_0280,단군왕검,삼국 이전,4,2,44,3,1,0,0,인물,,,고대
154,tg_003_2930,시사,조선 시대,4,2,44,0,1,0,3,단체,,,고려시대|고려시대-조선시대|조선시대|통시대
155,tg_003_0930,국조오례의,조선 시대,3,2,43,0,1,0,2,문헌,,,조선전기
156,tg_003_2370,납속,조선 시대,3,2,43,0,1,0,2,기타,,,조선시대
157,tg_003_1720,덕대,조선 시대,3,2,43,0,1,0,2,기타,,,조선후기
158,tg_002_0440,도호부,고려 시대,3,2,43,0,2,0,1,기타,,,조선시대|고려시대
159,tg_003_1770,만상,조선 시대,3,2,43,2,0,0,1,단체,,,조선후기
160,tg_003_2490,목민심서,조선 시대,3,2,43,2,0,0,1,문헌,,,조선후기
161,tg_001_0090,무구정광대다라니경,통일 신라와 발해,3,2,43,0,1,0,2,문화재,,,남북국시대
162,tg_003_0220,방납,조선 시대,3,2,43,0,1,0,2,제도,,,조선시대
163,tg_002_0640,병마사,고려 시대,3,2,43,0,0,1,2,기타,,,고려시대
164,tg_001_0700,빈공과,통일 신라와 발해,3,2,43,0,0,1,2,기타,,,고대-근세
165,tg_003_1160,사병,고려 시대,3,2,43,2,0,0,1,기타,,,통시대|고려전기|남북국시대
166,tg_003_0300,상소,조선 시대,3,2,43,0,0,2,1,제도,,,고려시대-조선시대
167,tg_002_0690,상평창,고려 시대,3,2,43,0,0,1,2,단체,,,고려시대-조선시대
168,tg_003_1200,서경권,고려 시대,3,2,43,0,0,2,1,기타,,,고려시대
169,tg_003_2600,성호사설,조선 시대,3,2,43,1,0,0,2,문헌,,,조선후기
170,tg_003_0360,수군,조선 시대,3,2,43,2,0,0,1,사상·종교,,,고려시대-조선시대
171,tg_003_1950,신해통공,조선 시대,3,2,43,0,1,0,2,제도,,,조선후기
172,tg_003_2700,양명학,조선 시대,3,2,43,0,1,0,2,사상·종교,,,중세
173,tg_004_0680,우금치 전투,근대,3,2,43,2,1,0,0,기타,,,
174,tg_004_0740,을사의병,근대,3,2,43,1,0,0,2,기타,,,근대
175,tg_003_0570,족보,조선 시대,3,2,43,2,0,0,1,기타,,,통시대
176,tg_001_0860,좌평,삼국 시대,3,2,43,0,1,2,0,기타,,,삼국시대
177,tg_004_2830,진단학회,근대,3,2,43,0,0,1,2,단체,,,일제시기-현대
178,tg_001_0940,촌주,삼국 시대,3,2,43,2,0,0,1,기타,,,고대
179,tg_001_0370,10정,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대
180,tg_001_0400,17관등,삼국 시대,2,2,42,0,0,1,1,제도,,,고대
181,tg_001_0450,5소경,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,고대
182,tg_001_0460,62주,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대
183,tg_001_0510,9서당,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대
184,tg_001_0520,9주,통일 신라와 발해,2,2,42,1,0,0,1,사상·종교,,,통시대|남북국시대|고대
185,tg_004_2290,개벽,근대,2,2,42,1,0,1,0,문헌,,,일제시기
186,tg_003_1530,객주,조선 시대,2,2,42,0,0,1,1,단체,,,고려시대-조선시대
187,tg_001_0530,거서간,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대
188,tg_003_1550,결작,조선 시대,2,2,42,0,1,0,1,제도,,,조선후기
189,tg_003_0870,경재소,조선 시대,2,2,42,0,0,1,1,기타,,,조선시대
190,tg_003_0880,계유정난,조선 시대,2,2,42,0,1,0,1,사건,,,조선전기
191,tg_002_0500,공음전,고려 시대,2,2,42,1,0,0,1,제도,,,고려시대
192,tg_002_0170,교관겸수,고려 시대,2,2,42,0,1,0,1,사상·종교,,,고려전기
193,tg_002_0330,교정도감,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기
194,tg_002_0340,국자감,고려 시대,2,2,42,0,1,0,1,기타,,,고려시대|고대-근대
195,tg_003_1640,금난전권,조선 시대,2,2,42,0,1,0,1,제도,,,조선후기
196,tg_003_1650,금위영,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기
197,tg_001_0640,대대로,삼국 시대,2,2,42,1,0,1,0,기타,,,조선시대|삼국시대
198,tg_002_0590,도병마사,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대
199,tg_004_1630,독립의군부,근대,2,2,42,0,1,0,1,기타,,,일제시기
200,tg_004_0310,동문학,근대,2,2,42,0,0,1,1,기타,,,개항기
201,tg_003_2440,동문휘고,조선 시대,2,2,42,1,1,0,0,문헌,,,조선후기
202,tg_003_0200,두레,조선 시대,2,2,42,0,0,1,1,단체,,,조선시대
203,tg_003_2480,마과회통,조선 시대,2,2,42,0,0,1,1,문헌,,,조선후기
204,tg_002_0010,만권당,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기
205,tg_003_2500,반계수록,조선 시대,2,2,42,1,0,0,1,문헌,,,조선후기
206,tg_001_0690,병부,삼국 시대,2,2,42,0,1,0,1,기타,,,남북국시대-고려전기|고려후기|삼국시대
207,tg_002_0650,부곡,고려 시대,2,2,42,0,1,0,1,기타,,,고대-조선시대
208,tg_003_2570,사문난적,조선 시대,2,2,42,0,0,1,1,사상·종교,,,조선시대
209,tg_003_1150,사민,조선 시대,2,2,42,0,0,1,1,기타,,,조선전기
210,tg_003_0280,사초,조선 시대,2,2,42,1,0,0,1,기타,,,고려시대-조선시대
211,tg_002_0680,삼사,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대-조선전기
212,tg_003_1900,선무군관포,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기
213,tg_003_1220,소격서,조선 시대,2,2,42,0,0,1,1,기타,,,조선시대
214,tg_001_0050,소도,삼국 이전,2,2,42,1,1,0,0,기타,,,고대
215,tg_003_0370,수신전,조선 시대,2,2,42,0,1,0,1,제도,,,고려후기-조선전기
216,tg_004_0540,신문지법,근대,2,2,42,0,0,1,1,기타,,,근대
217,tg_001_0110,신집,삼국 시대,2,2,42,0,1,1,0,인물,,,조선후기|삼국시대
218,tg_002_0800,어사대,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대
219,tg_003_1980,어영청,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기
220,tg_003_1990,여각,조선 시대,2,2,42,0,0,1,1,단체,,,조선시대
221,tg_003_2000,여전론,조선 시대,2,2,42,1,0,0,1,사상·종교,,,조선후기
222,tg_003_0440,열녀,조선 시대,2,2,42,1,0,0,1,기타,,,통시대
223,tg_001_0060,우경,삼국 시대,2,2,42,0,0,1,1,기타,,,통시대
224,tg_003_2060,원납전,조선 시대,2,2,42,0,0,1,1,기타,,,조선후기
225,tg_003_1350,위화도 회군,조선 시대,2,2,42,1,1,0,0,기타,,,
226,tg_003_1390,을사사화,조선 시대,2,2,42,0,1,0,1,사건,,,조선전기
227,tg_001_0800,이사금,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대
228,tg_002_0850,전민변정도감,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기
229,tg_001_0810,정당성,통일 신라와 발해,2,2,42,0,0,1,1,기타,,,남북국시대
230,tg_002_0190,정혜쌍수,고려 시대,2,2,42,0,1,1,0,사상·종교,,,고려시대
231,tg_002_0890,제위보,고려 시대,2,2,42,0,1,0,1,기타,,,고려시대
232,tg_003_0560,조의제문,조선 시대,2,2,42,0,1,0,1,기타,,,조선시대
233,tg_002_1030,주현,고려 시대,2,2,42,0,0,1,1,기타,,,
234,tg_001_0230,진흥왕 순수비,삼국 시대,2,2,42,1,0,1,0,기타,,,
235,tg_001_0910,집사부,삼국 시대,2,2,42,1,0,0,1,기타,,,고대
236,tg_001_0920,차차웅,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대
237,tg_002_0930,첨의부,고려 시대,2,2,42,0,0,1,1,기타,,,고려후기
238,tg_004_1140,태극서관,근대,2,2,42,0,1,0,1,기타,,,근대
239,tg_004_1170,통리기무아문,근대,2,2,42,0,1,0,1,기타,,,개항기
240,tg_004_2390,한국독립운동지혈사,근대,2,2,42,0,0,1,1,문헌,,,일제시기
241,tg_003_2960,홍경래의 난,조선 시대,2,2,42,0,1,1,0,기타,,,
242,tg_003_1510,5군영,조선 시대,5,1,25,0,0,0,5,기타,,,조선후기
243,tg_003_0790,5위,조선 시대,4,1,24,0,0,0,4,기타,,,조선전기
244,tg_002_1060,강동 6주,고려 시대,4,1,24,4,0,0,0,기타,,,
245,tg_002_0570,대간,고려 시대,4,1,24,0,0,0,4,기타,,,고려시대-조선시대
246,tg_003_0190,동인,조선 시대,4,1,24,0,0,0,4,단체,,,통시대|조선시대
247,tg_003_0260,사족,조선 시대,4,1,24,0,0,0,4,기타,,,고려시대-조선시대
248,tg_003_2610,세도 정치,조선 시대,4,1,24,4,0,0,0,기타,,,
249,tg_003_0740,호적,조선 시대,4,1,24,0,0,0,4,제도,,,조선시대|통시대
250,tg_003_0470,요역,조선 시대,3,1,23,0,0,0,3,기타,,,통시대
251,tg_004_0860,절영도,근대,3,1,23,0,0,0,3,장소,,,
252,tg_003_2910,탕평책,조선 시대,3,1,23,3,0,0,0,기타,,,
253,tg_004_1260,한러은행,근대,3,1,23,0,0,0,3,단체,,,근대
254,tg_003_1490,훈구,조선 시대,3,1,23,0,0,0,3,단체,,,조선시대
255,tg_001_0390,16관등,삼국 시대,2,1,22,0,0,2,0,제도,,,삼국시대
256,tg_002_0420,2성,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대
257,tg_003_0770,3포,조선 시대,2,1,22,0,0,0,2,기타,,,
258,tg_002_0450,5도,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대
259,tg_003_0830,감영,조선 시대,2,1,22,0,0,0,2,기타,,,조선시대
260,tg_002_0510,과거 제도,고려 시대,2,1,22,2,0,0,0,기타,,,
261,tg_004_2700,국민부,근대,2,1,22,0,0,0,2,기타,,,일제시기
262,tg_003_2520,남인,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기
263,tg_003_2380,노론,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기
264,tg_002_0580,도방,고려 시대,2,1,22,0,0,0,2,기타,,,고려후기
265,tg_002_0600,도평의사사,고려 시대,2,1,22,0,0,0,2,기타,,,고려후기
266,tg_004_1510,보안법,근대,2,1,22,0,0,0,2,기타,,,근대
267,tg_003_1810,부농,조선 시대,2,1,22,0,0,0,2,기타,,,
268,tg_004_1940,산미 증식 계획,근대,2,1,22,2,0,0,0,기타,,,
269,tg_003_1840,삼수병,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기
270,tg_003_2620,소론,조선 시대,2,1,22,0,0,0,2,단체,,,조선후기
271,tg_003_2630,속오군,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기
272,tg_004_2560,신사 참배,근대,2,1,22,2,0,0,0,기타,,,
273,tg_003_2100,은결,조선 시대,2,1,22,0,0,2,0,제도,,,조선시대
274,tg_003_1380,을묘왜변,조선 시대,2,1,22,0,0,0,2,기타,,,조선전기
275,tg_002_0820,음서 제도,고려 시대,2,1,22,2,0,0,0,기타,,,
276,tg_003_2140,임원경제지,조선 시대,2,1,22,0,0,0,2,문헌,,,조선후기
277,tg_002_1000,잡과,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대|조선시대
278,tg_004_0840,전주 화약,근대,2,1,22,2,0,0,0,기타,,,
279,tg_004_2880,조선 총독,근대,2,1,22,2,0,0,0,기타,,,
280,tg_002_0390,중방,고려 시대,2,1,22,0,0,0,2,기타,,,고려시대|삼국시대
281,tg_003_2900,추사체,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기
282,tg_004_1360,한성주보,근대,2,1,22,0,0,2,0,기타,,,개항기
283,tg_002_0050,향도,고려 시대,2,1,22,0,0,0,2,단체,,,통시대
284,tg_004_1450,혜상공국,근대,2,1,22,0,0,0,2,단체,,,근대
285,tg_003_2250,환곡,조선 시대,2,1,22,0,0,0,2,기타,,,
286,tg_003_2260,후시,조선 시대,2,1,22,0,0,0,2,기타,,,조선후기
287,tg_002_0990,훈요 10조,고려 시대,2,1,22,2,0,0,0,기타,,,
288,tg_001_0420,22부,삼국 시대,1,1,21,0,0,1,0,기타,,,삼국시대
289,tg_002_0410,2군,고려 시대,1,1,21,0,0,0,1,기타,,,고려시대
290,tg_002_0430,3경,고려 시대,1,1,21,0,0,0,1,사상·종교,,,삼국시대|고려시대|통시대
291,tg_001_0430,5방,삼국 시대,1,1,21,0,0,0,1,기타,,,삼국시대
292,tg_002_0470,6위,고려 시대,1,1,21,0,0,0,1,기타,,,고려시대
293,tg_003_0030,6조 직계제,조선 시대,1,1,21,1,0,0,0,기타,,,
294,tg_003_2270,강화학파,조선 시대,1,1,21,0,1,0,0,사상·종교,,,조선후기
295,tg_003_1520,개시,조선 시대,1,1,21,0,0,0,1,기타,,,조선후기
296,tg_004_0060,거문도 사건,근대,1,1,21,0,1,0,0,기타,,,
297,tg_004_0070,건양,근대,1,1,21,0,0,0,1,기타,,,개항기
298,tg_003_2280,검서관,조선 시대,1,1,21,0,0,1,0,기타,,,조선후기
