rank,term_id,topic,source_era,pdf_hit_total,pdf_source_count,pdf_score,hits_에듀윌_한국사능력검정시험_빈출개념요약집_저작권_에듀윌_,hits_벼락치기_한능검_2026_심화_필수개념_노트,hits_한능검_심화1급_정리최종,hits_최태성_별별한국사_필기_공유용,topic_type,neo4j_entity_types,neo4j_themes,neo4j_eras,keyword_source,normalized_era,source_field
21,tg_003_0330,서얼,조선 시대,9,4,89,4,1,2,2,기타,,,통시대,pdf_textbook_term,조선,
22,tg_001_0070,율령,삼국 시대,9,4,89,3,2,1,3,기타,,,,pdf_textbook_term,삼국,
23,tg_002_0060,팔만대장경,고려 시대,9,4,89,4,1,1,3,문화재,,,조선후기|고려후기,pdf_textbook_term,고려,
24,tg_001_0630,녹읍,삼국 시대,8,4,88,2,1,2,3,제도,,,삼국시대-고려시대,pdf_textbook_term,삼국,
25,tg_001_0100,서기,삼국 시대,8,4,88,2,1,1,4,인물,,,조선전기|삼국시대,pdf_textbook_term,삼국,
26,tg_004_1160,통감,근대,8,4,88,2,1,2,3,기타,,,대한제국기,pdf_textbook_term,개항기,
27,tg_003_2980,환국,조선 시대,8,4,88,1,1,5,1,사건,,,통시대,pdf_textbook_term,조선,
28,tg_003_0100,과전법,조선 시대,7,4,87,1,1,1,4,제도,,,고려후기-조선전기,pdf_textbook_term,조선,
29,tg_001_0580,관료전,통일 신라와 발해,7,4,87,2,1,1,3,제도,,,남북국시대,pdf_textbook_term,남북국,
30,tg_003_0990,동국여지승람,조선 시대,7,4,87,3,1,1,2,문헌,,,조선전기,pdf_textbook_term,조선,
31,tg_001_0960,화랑도,삼국 시대,7,4,87,2,1,1,3,단체,,,고대|일제시기,pdf_textbook_term,삼국,
32,tg_001_0260,황룡사,삼국 시대,7,4,87,1,1,1,4,기타,,,,pdf_textbook_term,삼국,
33,tg_003_1630,균역법,조선 시대,6,4,86,1,2,1,2,기타,,,조선후기,pdf_textbook_term,조선,
34,tg_003_0230,백정,조선 시대,6,4,86,1,1,1,3,기타,,,조선시대,pdf_textbook_term,조선,
35,tg_003_1800,보부상,조선 시대,6,4,86,1,1,1,3,단체,,,삼국시대-조선시대,pdf_textbook_term,조선,
36,tg_003_1930,속대전,조선 시대,6,4,86,1,1,3,1,문헌,,,조선후기,pdf_textbook_term,조선,
37,tg_003_2800,장용영,조선 시대,6,4,86,2,1,2,1,기타,,,조선후기,pdf_textbook_term,조선,
38,tg_001_0570,골품제,삼국 시대,5,4,85,2,1,1,1,기타,,,,pdf_textbook_term,삼국,
39,tg_004_1860,매일신보,근대,5,4,85,1,1,1,2,기타,,,일제시기,pdf_textbook_term,개항기,
40,tg_002_1090,벽란도,고려 시대,5,4,85,2,1,1,1,장소,,,고려시대,pdf_textbook_term,고려,
41,tg_002_0360,별무반,고려 시대,5,4,85,1,2,1,1,기타,,,고려시대,pdf_textbook_term,고려,
42,tg_002_0090,삼국유사,고려 시대,5,4,85,2,1,1,1,문헌,,,고려후기,pdf_textbook_term,고려,
43,tg_001_0720,상대등,삼국 시대,5,4,85,1,1,1,2,기타,,,고대,pdf_textbook_term,삼국,
44,tg_002_0350,노비안검법,고려 시대,4,4,84,1,1,1,1,기타,,,고려전기,pdf_textbook_term,고려,
45,tg_003_2410,대전통편,조선 시대,4,4,84,1,1,1,1,문헌,,,조선후기,pdf_textbook_term,조선,
46,tg_001_0670,독서삼품과,통일 신라와 발해,4,4,84,1,1,1,1,기타,,,남북국시대,pdf_textbook_term,남북국,
47,tg_003_1020,묘호,고려 시대,4,4,84,1,1,1,1,기타,,,통시대,pdf_textbook_term,고려,
48,tg_001_0020,민며느리제,삼국 이전,4,4,84,1,1,1,1,기타,,,통시대,pdf_textbook_term,선사·초기국가,
49,tg_002_0660,사심관,고려 시대,4,4,84,1,1,1,1,기타,,,고려시대,pdf_textbook_term,고려,
50,tg_002_0080,삼국사기,고려 시대,4,4,84,1,1,1,1,문헌,,,고려전기,pdf_textbook_term,고려,
51,tg_003_2580,삼전도,조선 시대,4,4,84,1,1,1,1,장소,,,조선시대,pdf_textbook_term,조선,
52,tg_001_0040,서옥제,삼국 이전,4,4,84,1,1,1,1,기타,,,삼국시대,pdf_textbook_term,선사·초기국가,
53,tg_004_0620,영선사,근대,4,4,84,1,1,1,1,기타,,,근대,pdf_textbook_term,개항기,
54,tg_004_0880,정미의병,근대,4,4,84,1,1,1,1,기타,,,근대,pdf_textbook_term,개항기,
55,tg_001_0930,책화,삼국 이전,4,4,84,1,1,1,1,제도,,,고대,pdf_textbook_term,선사·초기국가,
56,tg_001_0950,태학,삼국 시대,4,4,84,1,1,1,1,기타,,,삼국시대|고려시대,pdf_textbook_term,삼국,
57,tg_003_0020,6조,조선 시대,15,3,75,6,0,4,5,기타,,,고려후기|삼국시대|고려시대-조선시대,pdf_textbook_term,조선,
58,tg_002_0950,향리,고려 시대,12,3,72,3,0,4,5,기타,,,조선시대|고려시대,pdf_textbook_term,고려,
59,tg_003_1210,성리학,고려 시대,11,3,71,3,1,0,7,사상·종교,,,통시대,pdf_textbook_term,고려,
60,tg_002_1070,개경,고려 시대,10,3,70,5,1,0,4,장소,,,고려후기|고려시대,pdf_textbook_term,고려,
61,tg_001_0830,정전,통일 신라와 발해,10,3,70,2,1,0,7,제도,,,조선시대|남북국시대|통시대,pdf_textbook_term,남북국,
62,tg_003_0700,향약,조선 시대,10,3,70,0,2,1,7,단체,,,통시대|조선시대,pdf_textbook_term,조선,
63,tg_001_0440,5부,삼국 시대,9,3,69,3,0,2,4,기타,,,조선시대|삼국시대|고려시대,pdf_textbook_term,삼국,
64,tg_002_0860,전시과,고려 시대,9,3,69,0,2,1,6,기타,,,,pdf_textbook_term,고려,
65,tg_003_0780,4군,조선 시대,8,3,68,5,0,1,2,기타,,,조선전기,pdf_textbook_term,조선,
66,tg_003_2320,규장각,조선 시대,8,3,68,4,2,0,2,기타,,,근대,pdf_textbook_term,조선,
67,tg_003_1110,비변사,조선 시대,8,3,68,0,1,1,6,기타,,,조선시대,pdf_textbook_term,조선,
68,tg_003_0610,중인,조선 시대,8,3,68,2,1,0,5,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
69,tg_003_0340,서인,조선 시대,7,3,67,1,0,1,5,단체,,,조선시대,pdf_textbook_term,조선,
70,tg_004_0720,을미개혁,근대,7,3,67,1,0,1,5,사건,,,개항기,pdf_textbook_term,개항기,
71,tg_004_2360,조광,근대,7,3,67,0,2,2,3,인물,,,고려전기|일제시기,pdf_textbook_term,개항기,
72,tg_002_0900,중추원,고려 시대,7,3,67,0,1,2,4,기타,,,고려전기|일제시기|조선전기|근대,pdf_textbook_term,고려,
73,tg_003_1480,통신사,조선 시대,7,3,67,4,0,1,2,기타,,,근대-현대|근대,pdf_textbook_term,조선,
74,tg_001_0680,마립간,삼국 시대,6,3,66,1,0,4,1,기타,,,삼국시대,pdf_textbook_term,삼국,
75,tg_003_1830,사창,조선 시대,6,3,66,0,3,1,2,기타,,,통시대|조선시대|고려전기|남북국시대|근대-현대,pdf_textbook_term,조선,
76,tg_002_0700,성균관,고려 시대,6,3,66,3,0,1,2,기타,,,조선시대|고려후기,pdf_textbook_term,고려,
77,tg_003_0380,수조권,조선 시대,6,3,66,2,0,1,3,제도,,,고려시대-조선시대,pdf_textbook_term,조선,
78,tg_003_0630,직전법,조선 시대,6,3,66,0,2,2,2,제도,,,조선전기,pdf_textbook_term,조선,
79,tg_002_0240,천리장성,고려 시대,6,3,66,2,0,1,3,기타,,,삼국시대|고려시대,pdf_textbook_term,고려,
80,tg_003_0760,3사,조선 시대,5,3,65,1,0,2,2,기타,,,조선시대|고려시대|통시대|고대,pdf_textbook_term,조선,
81,tg_001_0500,8조법,삼국 이전,5,3,65,3,0,1,1,기타,,,,pdf_textbook_term,선사·초기국가,
82,tg_003_0820,간쟁,고려 시대,5,3,65,1,0,2,2,제도,,,고려시대-조선시대,pdf_textbook_term,고려,
83,tg_003_0090,공장,조선 시대,5,3,65,3,0,1,1,기타,,,삼국시대-조선시대,pdf_textbook_term,조선,
84,tg_004_0190,기기창,근대,5,3,65,2,0,2,1,기타,,,개항기,pdf_textbook_term,개항기,
85,tg_004_0370,박문국,근대,5,3,65,1,0,2,2,기타,,,개항기,pdf_textbook_term,개항기,
86,tg_003_2510,발해고,조선 시대,5,3,65,2,0,1,2,문헌,,,대한제국기|조선후기,pdf_textbook_term,조선,
87,tg_003_2590,서학,조선 시대,5,3,65,3,0,1,1,사상·종교,,,고려시대|조선후기,pdf_textbook_term,조선,
88,tg_001_0300,설총,삼국 시대,5,3,65,0,1,1,3,인물,,,남북국시대,pdf_textbook_term,삼국,
89,tg_003_1710,송상,조선 시대,5,3,65,2,1,0,2,단체,,,고려시대-조선시대,pdf_textbook_term,조선,
90,tg_004_2350,어린이,근대,5,3,65,2,0,2,1,문헌,,,일제시기,pdf_textbook_term,개항기,
91,tg_003_0510,의창,고려 시대,5,3,65,0,1,1,3,기타,,,고려시대-조선시대,pdf_textbook_term,고려,
92,tg_002_0380,정방,고려 시대,5,3,65,0,1,2,2,기타,,,통시대|고려후기,pdf_textbook_term,고려,
93,tg_003_0680,향교,조선 시대,5,3,65,1,0,2,2,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
94,tg_004_1470,황성신문,근대,5,3,65,2,0,1,2,기타,,,근대,pdf_textbook_term,개항기,
95,tg_002_0400,12목,고려 시대,4,3,64,1,0,1,2,기타,,,고려전기,pdf_textbook_term,고려,
96,tg_001_0380,15부,통일 신라와 발해,4,3,64,1,0,1,2,기타,,,남북국시대,pdf_textbook_term,남북국,
97,tg_002_0200,건원중보,고려 시대,4,3,64,2,1,1,0,기타,,,고려시대,pdf_textbook_term,고려,
98,tg_003_0920,관찰사,조선 시대,4,3,64,1,0,1,2,기타,,,근세-근대,pdf_textbook_term,조선,
99,tg_003_2340,기유약조,조선 시대,4,3,64,0,1,2,1,기타,,,조선후기,pdf_textbook_term,조선,
100,tg_003_1760,내상,조선 시대,4,3,64,1,0,1,2,단체,,,조선시대,pdf_textbook_term,조선,
101,tg_003_1000,동국통감,조선 시대,4,3,64,2,0,1,1,문헌,,,조선전기,pdf_textbook_term,조선,
102,tg_004_0380,방곡령,근대,4,3,64,0,1,1,2,제도,,,개항기,pdf_textbook_term,개항기,
103,tg_004_0510,수신사,근대,4,3,64,1,0,1,2,기타,,,개항기,pdf_textbook_term,개항기,
104,tg_002_0720,승과,고려 시대,4,3,64,1,1,0,2,기타,,,고려시대-조선시대,pdf_textbook_term,고려,
105,tg_003_1260,승정원,조선 시대,4,3,64,2,0,1,1,기타,,,조선시대,pdf_textbook_term,조선,
106,tg_002_0750,쌍성총관부,고려 시대,4,3,64,2,1,0,1,기타,,,고려후기,pdf_textbook_term,고려,
107,tg_002_0790,양현고,고려 시대,4,3,64,0,1,2,1,단체,,,고려시대|조선시대,pdf_textbook_term,고려,
108,tg_003_2030,영정법,조선 시대,4,3,64,0,2,1,1,기타,,,조선후기,pdf_textbook_term,조선,
109,tg_003_1370,유향소,조선 시대,4,3,64,1,0,1,2,단체,,,조선전기,pdf_textbook_term,조선,
110,tg_002_0250,이규보,고려 시대,4,3,64,0,1,1,2,인물,,,고려후기,pdf_textbook_term,고려,
111,tg_001_0900,진대법,삼국 시대,4,3,64,2,0,1,1,기타,,,삼국시대,pdf_textbook_term,삼국,
112,tg_003_0650,춘추관,고려 시대,4,3,64,1,0,1,2,기타,,,조선시대|고려시대,pdf_textbook_term,고려,
113,tg_002_1120,팔관회,고려 시대,4,3,64,2,0,1,1,기타,,,고대-고려시대,pdf_textbook_term,고려,
114,tg_003_0720,현량과,조선 시대,4,3,64,0,1,1,2,기타,,,조선전기,pdf_textbook_term,조선,
115,tg_001_0350,화왕계,통일 신라와 발해,4,3,64,0,1,1,2,기타,,,남북국시대,pdf_textbook_term,남북국,
116,tg_003_2220,훈련도감,조선 시대,4,3,64,0,1,1,2,기타,,,조선후기,pdf_textbook_term,조선,
117,tg_001_0410,22담로,삼국 시대,3,3,63,1,0,1,1,기타,,,삼국시대,pdf_textbook_term,삼국,
118,tg_003_0840,갑자사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기,pdf_textbook_term,조선,
119,tg_003_0890,계해약조,조선 시대,3,3,63,0,1,1,1,기타,,,조선전기,pdf_textbook_term,조선,
120,tg_002_0520,광군,고려 시대,3,3,63,0,1,1,1,기타,,,고려전기,pdf_textbook_term,고려,
121,tg_001_0990,국내성,삼국 시대,3,3,63,1,0,1,1,기타,,,,pdf_textbook_term,삼국,
122,tg_003_0940,기묘사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기,pdf_textbook_term,조선,
123,tg_001_0620,내성,삼국 시대,3,3,63,1,0,1,1,기타,,,고대|통시대|고대-조선시대,pdf_textbook_term,삼국,
124,tg_001_0290,도선,통일 신라와 발해,3,3,63,1,1,0,1,인물,,,조선시대|남북국시대,pdf_textbook_term,남북국,
125,tg_002_0180,돈오점수,고려 시대,3,3,63,0,1,1,1,사상·종교,,,통시대,pdf_textbook_term,고려,
126,tg_002_0290,동명왕편,고려 시대,3,3,63,1,1,1,0,기타,,,고려후기,pdf_textbook_term,고려,
127,tg_003_1030,무오사화,조선 시대,3,3,63,0,1,1,1,사건,,,조선전기,pdf_textbook_term,조선,
128,tg_003_1860,삼정이정청,조선 시대,3,3,63,0,1,1,1,기타,,,조선후기,pdf_textbook_term,조선,
129,tg_002_1140,수선사,고려 시대,3,3,63,0,1,1,1,사건,,,고려후기,pdf_textbook_term,고려,
130,tg_004_0850,전환국,근대,3,3,63,1,0,1,1,단체,,,근대,pdf_textbook_term,개항기,
131,tg_002_0110,제왕운기,고려 시대,3,3,63,1,1,0,1,문헌,,,고려후기,pdf_textbook_term,고려,
132,tg_003_1430,조선경국전,조선 시대,3,3,63,0,1,1,1,문헌,,,조선전기,pdf_textbook_term,조선,
133,tg_001_0240,천마총,삼국 시대,3,3,63,1,0,1,1,기타,,,삼국시대,pdf_textbook_term,삼국,
134,tg_003_2890,초계문신제,조선 시대,3,3,63,0,1,1,1,사상·종교,,,조선시대,pdf_textbook_term,조선,
135,tg_002_0140,해동고승전,고려 시대,3,3,63,0,1,1,1,문헌,,,고려후기,pdf_textbook_term,고려,
136,tg_002_0960,혜민국,고려 시대,3,3,63,0,1,1,1,기타,,,고려시대,pdf_textbook_term,고려,
137,tg_001_0330,흑치상지,삼국 시대,3,3,63,1,1,1,0,인물,,,삼국시대,pdf_textbook_term,삼국,
138,tg_003_0430,양인,조선 시대,9,2,49,6,0,0,3,기타,,,,pdf_textbook_term,조선,
139,tg_003_0810,간의,조선 시대,8,2,48,7,0,1,0,기타,,,조선시대,pdf_textbook_term,조선,
140,tg_001_0470,6부,삼국 시대,7,2,47,0,0,2,5,기타,,,고려후기|남북국시대|삼국시대,pdf_textbook_term,삼국,
141,tg_001_0880,중시,삼국 시대,7,2,47,5,0,2,0,기타,,,조선시대|고대|고려시대,pdf_textbook_term,삼국,
142,tg_003_0800,6진,조선 시대,6,2,46,5,0,0,1,기타,,,조선전기,pdf_textbook_term,조선,
143,tg_003_0060,공납,조선 시대,6,2,46,0,0,2,4,제도,,,남북국시대-조선시대,pdf_textbook_term,조선,
144,tg_002_1130,연등회,고려 시대,6,2,46,4,0,0,2,사건,,,고려시대,pdf_textbook_term,고려,
145,tg_003_1140,사림,조선 시대,5,2,45,0,1,0,4,단체,,,고려후기-조선시대,pdf_textbook_term,조선,
146,tg_003_0580,종묘,조선 시대,5,2,45,3,0,0,2,문화재,,,조선전기,pdf_textbook_term,조선,
147,tg_002_1050,9성,고려 시대,4,2,44,3,0,1,0,기타,,,고려전기|통시대,pdf_textbook_term,고려,
148,tg_003_0860,경연,조선 시대,4,2,44,0,0,2,2,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
149,tg_001_0600,국학,삼국 시대,4,2,44,1,0,0,3,기타,,,남북국시대|일제시기-현대|고려후기,pdf_textbook_term,삼국,
150,tg_003_0130,군역,조선 시대,4,2,44,0,1,0,3,제도,,,통시대,pdf_textbook_term,조선,
151,tg_004_1690,권업회,근대,4,2,44,0,0,3,1,기타,,,,pdf_textbook_term,개항기,
152,tg_003_1660,난전,조선 시대,4,2,44,0,1,0,3,기타,,,조선시대,pdf_textbook_term,조선,
153,tg_001_0280,단군왕검,삼국 이전,4,2,44,3,1,0,0,인물,,,고대,pdf_textbook_term,선사·초기국가,
154,tg_003_2930,시사,조선 시대,4,2,44,0,1,0,3,단체,,,고려시대|고려시대-조선시대|조선시대|통시대,pdf_textbook_term,조선,
155,tg_003_0930,국조오례의,조선 시대,3,2,43,0,1,0,2,문헌,,,조선전기,pdf_textbook_term,조선,
156,tg_003_2370,납속,조선 시대,3,2,43,0,1,0,2,기타,,,조선시대,pdf_textbook_term,조선,
157,tg_003_1720,덕대,조선 시대,3,2,43,0,1,0,2,기타,,,조선후기,pdf_textbook_term,조선,
158,tg_002_0440,도호부,고려 시대,3,2,43,0,2,0,1,기타,,,조선시대|고려시대,pdf_textbook_term,고려,
159,tg_003_1770,만상,조선 시대,3,2,43,2,0,0,1,단체,,,조선후기,pdf_textbook_term,조선,
160,tg_003_2490,목민심서,조선 시대,3,2,43,2,0,0,1,문헌,,,조선후기,pdf_textbook_term,조선,
161,tg_001_0090,무구정광대다라니경,통일 신라와 발해,3,2,43,0,1,0,2,문화재,,,남북국시대,pdf_textbook_term,남북국,
162,tg_003_0220,방납,조선 시대,3,2,43,0,1,0,2,제도,,,조선시대,pdf_textbook_term,조선,
163,tg_002_0640,병마사,고려 시대,3,2,43,0,0,1,2,기타,,,고려시대,pdf_textbook_term,고려,
164,tg_001_0700,빈공과,통일 신라와 발해,3,2,43,0,0,1,2,기타,,,고대-근세,pdf_textbook_term,남북국,
165,tg_003_1160,사병,고려 시대,3,2,43,2,0,0,1,기타,,,통시대|고려전기|남북국시대,pdf_textbook_term,고려,
166,tg_003_0300,상소,조선 시대,3,2,43,0,0,2,1,제도,,,고려시대-조선시대,pdf_textbook_term,조선,
167,tg_002_0690,상평창,고려 시대,3,2,43,0,0,1,2,단체,,,고려시대-조선시대,pdf_textbook_term,고려,
168,tg_003_1200,서경권,고려 시대,3,2,43,0,0,2,1,기타,,,고려시대,pdf_textbook_term,고려,
169,tg_003_2600,성호사설,조선 시대,3,2,43,1,0,0,2,문헌,,,조선후기,pdf_textbook_term,조선,
170,tg_003_0360,수군,조선 시대,3,2,43,2,0,0,1,사상·종교,,,고려시대-조선시대,pdf_textbook_term,조선,
171,tg_003_1950,신해통공,조선 시대,3,2,43,0,1,0,2,제도,,,조선후기,pdf_textbook_term,조선,
172,tg_003_2700,양명학,조선 시대,3,2,43,0,1,0,2,사상·종교,,,중세,pdf_textbook_term,조선,
173,tg_004_0680,우금치 전투,근대,3,2,43,2,1,0,0,기타,,,,pdf_textbook_term,개항기,
174,tg_004_0740,을사의병,근대,3,2,43,1,0,0,2,기타,,,근대,pdf_textbook_term,개항기,
175,tg_003_0570,족보,조선 시대,3,2,43,2,0,0,1,기타,,,통시대,pdf_textbook_term,조선,
176,tg_001_0860,좌평,삼국 시대,3,2,43,0,1,2,0,기타,,,삼국시대,pdf_textbook_term,삼국,
177,tg_004_2830,진단학회,근대,3,2,43,0,0,1,2,단체,,,일제시기-현대,pdf_textbook_term,개항기,
178,tg_001_0940,촌주,삼국 시대,3,2,43,2,0,0,1,기타,,,고대,pdf_textbook_term,삼국,
179,tg_001_0370,10정,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대,pdf_textbook_term,남북국,
180,tg_001_0400,17관등,삼국 시대,2,2,42,0,0,1,1,제도,,,고대,pdf_textbook_term,삼국,
181,tg_001_0450,5소경,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,고대,pdf_textbook_term,남북국,
182,tg_001_0460,62주,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대,pdf_textbook_term,남북국,
183,tg_001_0510,9서당,통일 신라와 발해,2,2,42,1,0,0,1,기타,,,남북국시대,pdf_textbook_term,남북국,
184,tg_001_0520,9주,통일 신라와 발해,2,2,42,1,0,0,1,사상·종교,,,통시대|남북국시대|고대,pdf_textbook_term,남북국,
185,tg_004_2290,개벽,근대,2,2,42,1,0,1,0,문헌,,,일제시기,pdf_textbook_term,개항기,
186,tg_003_1530,객주,조선 시대,2,2,42,0,0,1,1,단체,,,고려시대-조선시대,pdf_textbook_term,조선,
187,tg_001_0530,거서간,삼국 시대,2,2,42,1,0,0,1,기타,,,삼국시대,pdf_textbook_term,삼국,
188,tg_003_1550,결작,조선 시대,2,2,42,0,1,0,1,제도,,,조선후기,pdf_textbook_term,조선,
189,tg_003_0870,경재소,조선 시대,2,2,42,0,0,1,1,기타,,,조선시대,pdf_textbook_term,조선,
190,tg_003_0880,계유정난,조선 시대,2,2,42,0,1,0,1,사건,,,조선전기,pdf_textbook_term,조선,
191,tg_002_0500,공음전,고려 시대,2,2,42,1,0,0,1,제도,,,고려시대,pdf_textbook_term,고려,
192,tg_002_0170,교관겸수,고려 시대,2,2,42,0,1,0,1,사상·종교,,,고려전기,pdf_textbook_term,고려,
193,tg_002_0330,교정도감,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기,pdf_textbook_term,고려,
194,tg_002_0340,국자감,고려 시대,2,2,42,0,1,0,1,기타,,,고려시대|고대-근대,pdf_textbook_term,고려,
195,tg_003_1640,금난전권,조선 시대,2,2,42,0,1,0,1,제도,,,조선후기,pdf_textbook_term,조선,
196,tg_003_1650,금위영,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기,pdf_textbook_term,조선,
197,tg_001_0640,대대로,삼국 시대,2,2,42,1,0,1,0,기타,,,조선시대|삼국시대,pdf_textbook_term,삼국,
198,tg_002_0590,도병마사,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대,pdf_textbook_term,고려,
199,tg_004_1630,독립의군부,근대,2,2,42,0,1,0,1,기타,,,일제시기,pdf_textbook_term,개항기,
200,tg_004_0310,동문학,근대,2,2,42,0,0,1,1,기타,,,개항기,pdf_textbook_term,개항기,
201,tg_003_2440,동문휘고,조선 시대,2,2,42,1,1,0,0,문헌,,,조선후기,pdf_textbook_term,조선,
202,tg_003_0200,두레,조선 시대,2,2,42,0,0,1,1,단체,,,조선시대,pdf_textbook_term,조선,
203,tg_003_2480,마과회통,조선 시대,2,2,42,0,0,1,1,문헌,,,조선후기,pdf_textbook_term,조선,
204,tg_002_0010,만권당,고려 시대,2,2,42,0,1,0,1,기타,,,고려후기,pdf_textbook_term,고려,
205,tg_003_2500,반계수록,조선 시대,2,2,42,1,0,0,1,문헌,,,조선후기,pdf_textbook_term,조선,
206,tg_001_0690,병부,삼국 시대,2,2,42,0,1,0,1,기타,,,남북국시대-고려전기|고려후기|삼국시대,pdf_textbook_term,삼국,
207,tg_002_0650,부곡,고려 시대,2,2,42,0,1,0,1,기타,,,고대-조선시대,pdf_textbook_term,고려,
208,tg_003_2570,사문난적,조선 시대,2,2,42,0,0,1,1,사상·종교,,,조선시대,pdf_textbook_term,조선,
209,tg_003_1150,사민,조선 시대,2,2,42,0,0,1,1,기타,,,조선전기,pdf_textbook_term,조선,
210,tg_003_0280,사초,조선 시대,2,2,42,1,0,0,1,기타,,,고려시대-조선시대,pdf_textbook_term,조선,
211,tg_002_0680,삼사,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대-조선전기,pdf_textbook_term,고려,
212,tg_003_1900,선무군관포,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기,pdf_textbook_term,조선,
213,tg_003_1220,소격서,조선 시대,2,2,42,0,0,1,1,기타,,,조선시대,pdf_textbook_term,조선,
214,tg_001_0050,소도,삼국 이전,2,2,42,1,1,0,0,기타,,,고대,pdf_textbook_term,선사·초기국가,
215,tg_003_0370,수신전,조선 시대,2,2,42,0,1,0,1,제도,,,고려후기-조선전기,pdf_textbook_term,조선,
216,tg_004_0540,신문지법,근대,2,2,42,0,0,1,1,기타,,,근대,pdf_textbook_term,개항기,
217,tg_001_0110,신집,삼국 시대,2,2,42,0,1,1,0,인물,,,조선후기|삼국시대,pdf_textbook_term,삼국,
218,tg_002_0800,어사대,고려 시대,2,2,42,0,0,1,1,기타,,,고려시대,pdf_textbook_term,고려,
219,tg_003_1980,어영청,조선 시대,2,2,42,0,1,0,1,기타,,,조선후기,pdf_textbook_term,조선,
220,tg_003_1990,여각,조선 시대,2,2,42,0,0,1,1,단체,,,조선시대,pdf_textbook_term,조선,
221,tg_003_2000,여전론,조선 시대,2,2,42,1,0,0,1,사상·종교,,,조선후기,pdf_textbook_term,조선,
222,tg_003_0440,열녀,조선 시대,2,2,42,1,0,0,1,기타,,,통시대,pdf_textbook_term,조선,
223,tg_001_0060,우경,삼국 시대,2,2,42,0,0,1,1,기타,,,통시대,pdf_textbook_term,삼국,
