person_id,name,birth_year,death_year,bonkwan,ja,ho,father,related_count,detail_url
P000091,강극온(姜克溫),,,진주(晉州),,,강오복(姜五福),9명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000091
P000092,강극충(姜克忠),,,진주(晉州),,,강오복(姜五福),9명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000092
P000093,강극효(姜克孝),,,진주(晉州),,,강오복(姜五福),9명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000093
P000094,강근(姜瑾),,,진주(晉州),,,강천민(姜天民),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000094
P000095,강근우(姜謹友),,,진주(晉州),,,강한(姜漢),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000095
P000096,강금(姜䃢),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000096
P000097,강급(姜𪻏),1602,1666,진주(晉州),,,강홍중(姜弘重),8명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000097
P000098,강급(姜伋),,,진주(晉州),,,강세원(姜世元),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000098
P000099,강긍(姜縆),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000099
P000100,강기(姜𣹡),1787,,진주(晉州),기백(耆伯),,,3명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000100
P000101,강기(姜𨪌),1824,,진주(晉州),국보(國輔),,강명규(姜命奎),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000101
P000102,강기룡(姜起龍),15??,1593,진주(晉州),응문(應文),동호(東湖),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000102
P000103,강기섭(姜崎燮),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000103
P000104,강기수(姜耆壽),,1459,진주(晉州),,,강지(姜智),2명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000104
P000105,강기신(姜起信),1607,,진주(晉州),입재(立哉),,강서(姜瑞),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000105
P000106,강기영(姜基永),1804,,진주(晉州),공리(公履),,강준흠(姜浚欽),5명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000106
P000107,강기종(康起宗),1610,1684,신천(信川),자술(子述),호은(湖隱),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000107
P000108,강기환(姜箕煥),,,진주(晉州),,,강주천(姜柱天),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000108
P000109,강난형(姜蘭馨),1813,,진주(晉州),"방숙(芳叔), 방숙(方叔)",,강노영(姜魯永),4명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000109
P000110,강내운(姜來運),1703,1755,진주(晉州),위거(渭擧),지우당(至愚堂),,0명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000110
P000111,강녕부부인홍씨(江寧府夫人洪氏),,,,,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000111
P000112,강노성(姜老星),1672,1732,진주(晉州),수경(壽卿),,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000112
P000113,강노영(姜魯永),,,진주(晉州),,,강악흠(姜嶽欽),6명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000113
P000114,강노환(姜栳煥),,,진주(晉州),,,강주제(姜柱齊),7명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000114
P000115,강눌(姜訥),,,진주(晉州),,,,1명,https://db.itkc.or.kr/people/view?gubun=person&cate1=Z&cate2=&dataId=P000115
