순번,이미지ID,제목,설명,작성자,시대,유형,분야,이미지출처,이용조건,키워드,관련콘텐츠,목록분류,목록요약,썸네일URL,원본이미지URL,저장이미지파일,상세요청URL
207,ki_020_10200,경주 황남대총,"황남대총(皇南大塚)은 경주시의 경주대릉원일원에 있는 신라시대의 고분이다. 2개의 원분(圓墳)이 남북으로 이어져 있는 표형분(瓢形墳)으로 동서 지름 80m, 남북 지름 120m, 남분 높이 22m, 북분 높이 23m로 신라 최대 봉토분이다. 묘제는 돌무지덧널무덤이다. 남분에서 출토된 유골은 60살 전후의 남자로 판단된다. 북분에서는 ‘부인대(夫人帶)’라는 명문이 있는 허리띠끝꾸미개가 출토되었으므로 피장자가 부인인 것으로 추정되었다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.",위가야,삼국과 가야,유적>무덤,문화,문화재청 국가문화유산포털,,"#금동관, #돌무지덧널무덤, #부인대, #사적, #신라, #황남대총",경주 황남대총 (한국사 연대기) | https://contents.history.go.kr/id/kc_r100044,삼국과 가야|유적>무덤|문화,"황남대총(皇南大塚)은 경주시의 경주대릉원일원에 있는 신라시대의 고분이다. 2개의 원분(圓墳)이 남북으로 이어져 있는 표형분(瓢形墳)으로 동서 지름 80m, 남북 지름 120m, 남분 높이 22m, 북분 높이 23m로 신라 최대 봉토분이다. 묘제는 돌무지덧널무덤이다. 남분에서 출토된 유골은 60살 전후의 남자로 판단된다. 북분에서는 ‘부인대(夫人帶)’라는 명문이 있는 허리띠끝꾸미개가 출토되었으므로 피장자가 부인인 것으로 추정되었다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10200.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10200.jpg,한국사 이미지 자료\images\ki_020\ki_020_10200.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10200&whereStr=
209,ki_020_10300,경주 황남동 상감 유리구슬,"경주 황남동에 있는 신라 미추왕릉에서 발견된 옥 목걸이다. 길이는 24㎝이며, 상감된 유리옥의 지름은 1.8㎝이다. 8가지 정도의 옥을 연결하여 만든 목걸이이며, 상감된 유리제 환옥(環玉)이 출토된 첫 사례이다. 둥그런 유리옥에 물속에서 헤엄치고 있는 오리와 두 사람의 얼굴이 세밀하게 상감되어 있다. 1978년 보물 제634호로 지정되었다.",위가야,삼국과 가야,유물>공예,문화,문화재청 국가문화유산포털,,"#경주황남동상감유리구슬, #미추왕릉, #보물, #상감유리환옥, #신라, #유리구슬, #유리옥, #황남동상감유리구슬",,삼국과 가야|유물>공예|문화,"경주 황남동에 있는 신라 미추왕릉에서 발견된 옥 목걸이다. 길이는 24㎝이며, 상감된 유리옥의 지름은 1.8㎝이다. 8가지 정도의 옥을 연결하여 만든 목걸이이며, 상감된 유리제 환옥(環玉)이 출토된 첫 사례이다. 둥그런 유리옥에 물속에서 헤엄치고 있는 오리와 두 사람의 얼굴이 세밀하게 상감되어 있다. 1978년 보물 제634호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10300.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10300.jpg,한국사 이미지 자료\images\ki_020\ki_020_10300.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10300&whereStr=
210,ki_020_10400,경주 천마총 출토 장니에 그려진 천마도,"경주시 황남동 천마총(天馬塚)에서 출토된 신라시대의 말 그림이다. 이 그림이 발견된 것으로 인해 천마총이란 이름이 붙여졌다. 천마도는 장니(障泥)에 그려져 있는데, 장니란 말을 탄 사람의 옷에 흙이 튀지 않도록 안장에 달아 늘어뜨리는 마구로 말다래라고도 한다. 재질은 자작나무 껍질을 바탕으로 가장자리에는 가죽이 대어져 있다. 중앙에 흰색으로 천마가 그려져 있고 가장자리에는 인동당초문이 장식되어 있다. 1982년 국보 제207호로 지정되었다.",위가야,삼국과 가야,유물>회화,문화,문화재청 국가문화유산포털,,"#국보, #기마문화, #신라, #장니, #천마도, #천마총",,삼국과 가야|유물>회화|문화,"경주시 황남동 천마총(天馬塚)에서 출토된 신라시대의 말 그림이다. 이 그림이 발견된 것으로 인해 천마총이란 이름이 붙여졌다. 천마도는 장니(障泥)에 그려져 있는데, 장니란 말을 탄 사람의 옷에 흙이 튀지 않도록 안장에 달아 늘어뜨리는 마구로 말다래라고도 한다. 재질은 자작나무 껍질을 바탕으로 가장자리에는 가죽이 대어져 있다. 중앙에 흰색으로 천마가 그려져 있고 가장자리에는 인동당초문이 장식되어 있다. 1982년 국보 제207호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10400.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10400.jpg,한국사 이미지 자료\images\ki_020\ki_020_10400.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10400&whereStr=
211,ki_020_10500,경주 천마총 출토 금관,경주시 천마총(天馬塚)에서 출토된 신라시대 금관이다. 높이 32.5cm로 앞면에 세 줄기의 신라 ‘출(出)자’형 입식(立飾)과 뒷면에 두 줄기의 사슴뿔 모양[鹿角形] 장식이 세워져 있는 전형적인 신라 금관이다. 다만 ‘출자’형 입식이 4단으로 되어 있는 것이 특징적이다. 또한 다른 금관에 비해 금판(金板)이 두껍다. 발견 당시 사람이 쓴 채로 발견되어 화제를 모았다. 1978년 국보 제188호로 지정되었다.,위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#국보, #금관, #녹각형입식, #신라, #신라금관, #천마총, #출자형입식",신라 금관 (한국사 연대기) | https://contents.history.go.kr/id/kc_r100474,삼국과 가야|유물>의례용품|문화,경주시 천마총(天馬塚)에서 출토된 신라시대 금관이다. 높이 32.5cm로 앞면에 세 줄기의 신라 ‘출(出)자’형 입식(立飾)과 뒷면에 두 줄기의 사슴뿔 모양[鹿角形] 장식이 세워져 있는 전형적인 신라 금관이다. 다만 ‘출자’형 입식이 4단으로 되어 있는 것이 특징적이다. 또한 다른 금관에 비해 금판(金板)이 두껍다. 발견 당시 사람이 쓴 채로 발견되어 화제를 모았다. 1978년 국보 제188호로 지정되었다.,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10500.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10500.jpg,한국사 이미지 자료\images\ki_020\ki_020_10500.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10500&whereStr=
212,ki_020_10600,경주 천마총 출토 금제 관식,경주시 천마총(天馬塚)에서 출토된 신라시대 금제(金製) 관식(冠飾)이다. 새의 날개 모양을 형상화한 것으로 조익(鳥翼)형 관식이라고 부른다. 금관총(金冠塚)에서 출토된 관식과 매우 유사하며 관식 내면의 복잡한 무늬는 당시 주로 사용된 용 무늬의 변화된 형태로 보고 있다. 표면 전면에는 400여 개 정도의 원판이 금실로 연결되어 있다. 1978년 보물 제618호로 지정되었다.,위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#관식, #금관총, #금제관식, #백제, #보물, #신라, #조익형관식, #천마총",,삼국과 가야|유물>의례용품|문화,경주시 천마총(天馬塚)에서 출토된 신라시대 금제(金製) 관식(冠飾)이다. 새의 날개 모양을 형상화한 것으로 조익(鳥翼)형 관식이라고 부른다. 금관총(金冠塚)에서 출토된 관식과 매우 유사하며 관식 내면의 복잡한 무늬는 당시 주로 사용된 용 무늬의 변화된 형태로 보고 있다. 표면 전면에는 400여 개 정도의 원판이 금실로 연결되어 있다. 1978년 보물 제618호로 지정되었다.,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10600.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10600.jpg,한국사 이미지 자료\images\ki_020\ki_020_10600.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10600&whereStr=
213,ki_020_10700,경주 천마총 출토 금제 관식,"경주시 천마총(天馬塚)에서 출토된 신라시대 금제(金製) 관식(冠飾)이다. 높이는 23cm, 너비는 23cm이다. 관모(冠帽)의 앞부분에 꽂았던 것으로 추정되며 나비 모양의 앞면에는 150여 개의 원형 달개가 장식되어 있다. 1978년 보물 제617호로 지정되었다.",위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#관모, #관식, #금제관식, #보물, #신라, #천마총",,삼국과 가야|유물>의례용품|문화,"경주시 천마총(天馬塚)에서 출토된 신라시대 금제(金製) 관식(冠飾)이다. 높이는 23cm, 너비는 23cm이다. 관모(冠帽)의 앞부분에 꽂았던 것으로 추정되며 나비 모양의 앞면에는 150여 개의 원형 달개가 장식되어 있다. 1978년 보물 제617호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10700.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10700.jpg,한국사 이미지 자료\images\ki_020\ki_020_10700.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10700&whereStr=
214,ki_020_10800,경주 천마총 유리잔,"천마총에서 발견된 유리잔이다. 높이는 7.4㎝, 구연부 지름은 7.8㎝이다. 청색의 투명한 유리 제품으로 기포가 보이지 않아 당시의 높은 제작기술을 알려준다. 두께는 일정하지 않고 구연부가 약간 밖으로 벌어져 있다. 표면에는 일정하지 않은 길이의 굵은 세로 선이 그어져 있으며 밑으로는 일정하지 않은 원형무늬가 연속적으로 장식되어 있다. 1978년 보물 제620호로 지정되었다.",위가야,삼국과 가야,유물>공예,문화,문화재청 국가문화유산포털,,"#보물, #신라, #유리잔, #천마총",신라 고분 출토 유리제품 (한국사 연대기) | https://contents.history.go.kr/id/kc_r100472,삼국과 가야|유물>공예|문화,"천마총에서 발견된 유리잔이다. 높이는 7.4㎝, 구연부 지름은 7.8㎝이다. 청색의 투명한 유리 제품으로 기포가 보이지 않아 당시의 높은 제작기술을 알려준다. 두께는 일정하지 않고 구연부가 약간 밖으로 벌어져 있다. 표면에는 일정하지 않은 길이의 굵은 세로 선이 그어져 있으며 밑으로는 일정하지 않은 원형무늬가 연속적으로 장식되어 있다. 1978년 보물 제620호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10800.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10800.jpg,한국사 이미지 자료\images\ki_020\ki_020_10800.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10800&whereStr=
215,ki_020_10900,경주 금령총,"금령총(金鈴塚)은 돌무지덧널무덤으로 6세기 초엽으로 추정된다. 부장품 가운데 금제 방울이 들어 있어서 ‘금령총’이라 한다. 주요 부장품으로는 그림이 그려진 백화수피제(白樺樹皮製) 채양과 관모(冠帽)·금동제 신발·은제 허리띠와 띠드리개, 각종 마구 및 철제무기, 금동제합(金銅製盒), 쇠솥, 각종 그림이 그려진 칠기(漆器), 유리잔, 기마인물상(騎馬人物像) 토기, 배모양 토기 등 특수형 토기와 장식토기 등 모두 11점의 토기가 있다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.",위가야,삼국과 가야,유적>무덤,문화,문화재청 국가문화유산포털,,"#고분군, #금령총, #돌무지덧널무덤, #사적, #신라",,삼국과 가야|유적>무덤|문화,"금령총(金鈴塚)은 돌무지덧널무덤으로 6세기 초엽으로 추정된다. 부장품 가운데 금제 방울이 들어 있어서 ‘금령총’이라 한다. 주요 부장품으로는 그림이 그려진 백화수피제(白樺樹皮製) 채양과 관모(冠帽)·금동제 신발·은제 허리띠와 띠드리개, 각종 마구 및 철제무기, 금동제합(金銅製盒), 쇠솥, 각종 그림이 그려진 칠기(漆器), 유리잔, 기마인물상(騎馬人物像) 토기, 배모양 토기 등 특수형 토기와 장식토기 등 모두 11점의 토기가 있다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10900.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_10900.jpg,한국사 이미지 자료\images\ki_020\ki_020_10900.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_10900&whereStr=
216,ki_020_11000,경주 금령총 출토 기마인물형토기 주인상,"금령총(金鈴塚)에서 출토된 1쌍의 기마인물형토기이다. 귀족과 그의 종으로 보이는 2개의 토제기마상이다. 주인상과 하인상으로 부른다. 두꺼운 직사각형 판(板) 위에 다리가 짧은 조랑말을 탄 사람이 올라 앉아 있는 모습인데, 말의 뱃속이 비어 있어 물을 담을 수 있고 앞 가슴에 돌출된 부분의 구멍으로 물을 따를 수 있다. 주인상은 말장식이 화려하며 고깔 형태의 띠와 장식이 있는 삼각모(三角帽)를 쓰고 있다. 1962년 국보 제91호로 지정되었다.",위가야,삼국과 가야,유적>무덤,문화,문화재청 국가문화유산포털,,"#국보, #금령총, #기마인물형토기, #신라, #토제기마상",,삼국과 가야|유적>무덤|문화,"금령총(金鈴塚)에서 출토된 1쌍의 기마인물형토기이다. 귀족과 그의 종으로 보이는 2개의 토제기마상이다. 주인상과 하인상으로 부른다. 두꺼운 직사각형 판(板) 위에 다리가 짧은 조랑말을 탄 사람이 올라 앉아 있는 모습인데, 말의 뱃속이 비어 있어 물을 담을 수 있고 앞 가슴에 돌출된 부분의 구멍으로 물을 따를 수 있다. 주인상은 말장식이 화려하며 고깔 형태의 띠와 장식이 있는 삼각모(三角帽)를 쓰고 있다. 1962년 국보 제91호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11000.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11000.jpg,한국사 이미지 자료\images\ki_020\ki_020_11000.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11000&whereStr=
217,ki_020_11100,경주 금관총 출토 금관,"경주시 금관총(金冠塚)에서 출토된 신라시대 금관이다. 높이는 44.4㎝, 머리띠 지름은 19㎝이다. 신라의 금관은 내관(內冠)과 외관(外冠)으로 구성되어 있는데, 이 금관은 바깥에 쓰는 관으로 신라 금관의 전형적인 형태를 갖춘 것이다. 정면에 3단으로 ‘출(出)’자 모양의 장식을 두었기 때문에 ‘출자’형 금관이라고도 부른다. 1962년 국보 제87호로 지정되었다.",위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#국보, #금관, #금관총, #신라, #출자형금관",,삼국과 가야|유물>의례용품|문화,"경주시 금관총(金冠塚)에서 출토된 신라시대 금관이다. 높이는 44.4㎝, 머리띠 지름은 19㎝이다. 신라의 금관은 내관(內冠)과 외관(外冠)으로 구성되어 있는데, 이 금관은 바깥에 쓰는 관으로 신라 금관의 전형적인 형태를 갖춘 것이다. 정면에 3단으로 ‘출(出)’자 모양의 장식을 두었기 때문에 ‘출자’형 금관이라고도 부른다. 1962년 국보 제87호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11100.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11100.jpg,한국사 이미지 자료\images\ki_020\ki_020_11100.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11100&whereStr=
218,ki_020_11200,경주 서봉총 출토 금관,"경주시 서봉총(瑞鳳塚)에서 출토된 신라시대 금관이다. 높이는 30.7㎝, 지름은 18.4㎝, 수식(垂飾)의 길이는 24.7㎝이다. 서봉총은 1926년 고분 발굴 당시 스웨덴[瑞典] 황태자 구스타프(Oscar Fredrik Wilhelm Olaf Gustaf Adolf)가 발굴에 참여하였고, 관에 새의 형상이 붙어 있어 붙여진 이름이다. 관의 형태는 대륜(臺輪) 위의 앞면에 ‘出(출)’자형 3조와 녹각형(鹿角形) 2조의 입식(立飾)을 세우는 신라계 금관의 기본형을 따르고 있다. 1963년 보물 제339호로 지정되었다.",위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#금관, #녹각형입식, #대륜, #보물, #서봉총, #스웨덴황태자, #신라, #신라금관, #출자형입식",신라 금관 (한국사 연대기) | https://contents.history.go.kr/id/kc_r100474,삼국과 가야|유물>의례용품|문화,"경주시 서봉총(瑞鳳塚)에서 출토된 신라시대 금관이다. 높이는 30.7㎝, 지름은 18.4㎝, 수식(垂飾)의 길이는 24.7㎝이다. 서봉총은 1926년 고분 발굴 당시 스웨덴[瑞典] 황태자 구스타프(Oscar Fredrik Wilhelm Olaf Gustaf Adolf)가 발굴에 참여하였고, 관에 새의 형상이 붙어 있어 붙여진 이름이다. 관의 형태는 대륜(臺輪) 위의 앞면에 ‘出(출)’자형 3조와 녹각형(鹿角形) 2조의 입식(立飾)을 세우는 신라계 금관의 기본형을 따르고 있다. 1963년 보물 제339호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11200.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11200.jpg,한국사 이미지 자료\images\ki_020\ki_020_11200.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11200&whereStr=
219,ki_020_11300,경주 계림로 보검,"경주시 황남동 미추왕릉지구 계림로 14호분에서 출토된 칼이다. 삼국시대의 무덤에서 출토되는 환두대도(環頭大刀)와는 그 형태와 문양이 다른데, 이러한 형태의 보검은 동유럽과 서역에 걸쳐 분포되었던 것으로 신라와 중앙아시아의 문화교류 및 신라 문화의 국제적인 성격을 증명하는 유물로 이해된다. 1978년 보물 제635호로 지정되었다.",위가야,삼국과 가야,유물>의례용품,문화,문화재청 국가문화유산포털,,"#경주계림로보검, #계림로, #계림로보검, #동유럽, #무덤, #미추왕릉, #보검, #보물, #삼국시대, #서역, #신라, #중앙아시아, #환두대도, #황남동",,삼국과 가야|유물>의례용품|문화,"경주시 황남동 미추왕릉지구 계림로 14호분에서 출토된 칼이다. 삼국시대의 무덤에서 출토되는 환두대도(環頭大刀)와는 그 형태와 문양이 다른데, 이러한 형태의 보검은 동유럽과 서역에 걸쳐 분포되었던 것으로 신라와 중앙아시아의 문화교류 및 신라 문화의 국제적인 성격을 증명하는 유물로 이해된다. 1978년 보물 제635호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11300.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11300.jpg,한국사 이미지 자료\images\ki_020\ki_020_11300.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11300&whereStr=
221,ki_020_11450,계림로30호 출토 토우장식 항아리,"경주 미추왕릉지구 계림로 30호에서 출토된 토우 장식 토기이다. 높이 34cm, 구경 23cm 내외의 장경호로 4개의 돌출선이 목 부분에 둘러져 있다. 어깨와 목 부위에 5cm 정도의 작은 토우들이 붙어 있다. 토우는 개구리, 새, 거북이, 사람 등이 있다. 이러한 토우 장식 그릇은 제사와 같은 특수한 용도를 위해 제작되었으리라 추정되며, 토우들은 생산력과 관련하여 다산과 풍요를 기원하는 의도를 반영하는 것으로 보고 있다.",이규호,삼국과 가야,유물>의례용품,문화,국립경주박물관,,"#다산, #미추왕릉지구, #신라, #장경호, #토우, #풍요",,삼국과 가야|유물>의례용품|문화,"경주 미추왕릉지구 계림로 30호에서 출토된 토우 장식 토기이다. 높이 34cm, 구경 23cm 내외의 장경호로 4개의 돌출선이 목 부분에 둘러져 있다. 어깨와 목 부위에 5cm 정도의 작은 토우들이 붙어 있다. 토우는 개구리, 새, 거북이, 사람 등이 있다. 이러한 토우 장식 그릇은 제사와 같은 특수한 용도를 위해 제작되었으리라 추정되며, 토우들은 생산력과 관련하여 다산과 풍요를 기원하는 의도를 반영하는 것으로 보고 있다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11450.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11450.jpg,한국사 이미지 자료\images\ki_020\ki_020_11450.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11450&whereStr=
222,ki_020_11500,경주 호우총,호우총(壺杅塚)은 경주시의 경주 대릉원 일원에 있는 신라시대의 고분이다. 1946년 국립박물관이 은령총(銀鈴塚)과 함께 발굴하였다. 한국인에 의해 최초로 발굴된 유적으로 전형적인 신라 돌무지덧널무덤이다. 고구려 광개토대왕을 기념하는 명문이 새겨진 청동 호우(壺杅)가 출토되어 호우총이라 불리게 되었다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.,위가야,삼국과 가야,유적>무덤,정치,문화재청 국가문화유산포털,,"#경주대릉원일원, #고구려, #고분, #광개토대왕, #대릉원, #돌무지덧널무덤, #사적, #신라, #신라고분, #은령총, #호우총","광개토 대왕 (재미있는 초등역사) | https://contents.history.go.kr/id/eh_n0070_0010
신라 대릉원 유적 (재미있는 초등역사) | https://contents.history.go.kr/id/eh_r0080_0010
광개토왕 (한국사 연대기) | https://contents.history.go.kr/id/kc_n100500
호우명 그릇 (한국사 연대기) | https://contents.history.go.kr/id/kc_r102000",삼국과 가야|유적>무덤|정치,호우총(壺杅塚)은 경주시의 경주 대릉원 일원에 있는 신라시대의 고분이다. 1946년 국립박물관이 은령총(銀鈴塚)과 함께 발굴하였다. 한국인에 의해 최초로 발굴된 유적으로 전형적인 신라 돌무지덧널무덤이다. 고구려 광개토대왕을 기념하는 명문이 새겨진 청동 호우(壺杅)가 출토되어 호우총이라 불리게 되었다. 2011년 경주 평야 한복판에 인접해 있는 신라시대의 고분군과 함께 사적 제512호 지정되었다.,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11500.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11500.jpg,한국사 이미지 자료\images\ki_020\ki_020_11500.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11500&whereStr=
227,ki_020_11700,포항 냉수리 신라비,"포항 신광면에 있는 신라시대의 비이다. 비의 앞면과 뒷면, 그리고 윗면의 3면에 글자를 새겼다. 글자는 총 231자이다. 비문은 절거리(節居利)라는 인물의 재산 소유와 유산상속 문제를 결정한 사실에 관한 것이다. 내용 중 ‘계미(癸未)’라는 간지(干支)와 ‘지도로갈문왕’등의 칭호가 나오고 있어 신라 지증왕 4년(503)에 건립된 것으로 보인다. 국가에서 세운 비로서 신라의 왕명을 다룬 초기 율령체제의 형태를 보여주어 당시 사회를 이해하는데 귀중한 자료가 된다. 1991년 국보 제264호로 지정되었다.",권순홍,삼국과 가야,유적>탑·비석,사회,문화재청 국가문화유산포털,,"#공문서, #국보, #냉수리신라비, #비문, #신라, #신라비, #예서체, #유산상속, #율령체제, #재산소유, #절거리, #지도로갈문왕, #지증왕, #포항냉수리신라비, #해서체","지증왕 (한국사 연대기) | https://contents.history.go.kr/id/kc_n101720
포항 냉수리 신라비 (한국사 연대기) | https://contents.history.go.kr/id/kc_r101600",삼국과 가야|유적>탑·비석|사회,"포항 신광면에 있는 신라시대의 비이다. 비의 앞면과 뒷면, 그리고 윗면의 3면에 글자를 새겼다. 글자는 총 231자이다. 비문은 절거리(節居利)라는 인물의 재산 소유와 유산상속 문제를 결정한 사실에 관한 것이다. 내용 중 ‘계미(癸未)’라는 간지(干支)와 ‘지도로갈문왕’등의 칭호가 나오고 있어 신라 지증왕 4년(503)에 건립된 것으로 보인다. 국가에서 세운 비로서 신라의 왕명을 다룬 초기 율령체제의 형태를 보여주어 당시 사회를 이해하는데 귀중한 자료가 된다. 1991년 국보 제264호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11700.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11700.jpg,한국사 이미지 자료\images\ki_020\ki_020_11700.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11700&whereStr=
228,ki_020_11800,포항 냉수리 신라비 뒷면,"포항 신광면에 있는 신라시대의 비이다. 비의 앞면과 뒷면, 그리고 윗면의 3면에 글자를 새겼다. 글자는 총 231자이다. 비문은 절거리(節居利)라는 인물의 재산 소유와 유산상속 문제를 결정한 사실에 관한 것이다. 내용 중 ‘계미(癸未)’라는 간지(干支)와 ‘지도로갈문왕’등의 칭호가 나오고 있어 신라 지증왕 4년(503)에 건립된 것으로 보인다. 국가에서 세운 비로서 신라의 왕명을 다룬 초기 율령체제의 형태를 보여주어 당시 사회를 이해하는데 귀중한 자료가 된다. 1991년 국보 제264호로 지정되었다.",권순홍,삼국과 가야,유적>탑·비석,사회,문화재청 국가문화유산포털,,"#공문서, #국보, #냉수리신라비, #비문, #신라, #신라비, #예서체, #유산상속, #율령체제, #재산소유, #절거리, #지도로갈문왕, #지증왕, #포항냉수리신라비, #해서체","지증왕 (한국사 연대기) | https://contents.history.go.kr/id/kc_n101720
포항 냉수리 신라비 (한국사 연대기) | https://contents.history.go.kr/id/kc_r101600",삼국과 가야|유적>탑·비석|사회,"포항 신광면에 있는 신라시대의 비이다. 비의 앞면과 뒷면, 그리고 윗면의 3면에 글자를 새겼다. 글자는 총 231자이다. 비문은 절거리(節居利)라는 인물의 재산 소유와 유산상속 문제를 결정한 사실에 관한 것이다. 내용 중 ‘계미(癸未)’라는 간지(干支)와 ‘지도로갈문왕’등의 칭호가 나오고 있어 신라 지증왕 4년(503)에 건립된 것으로 보인다. 국가에서 세운 비로서 신라의 왕명을 다룬 초기 율령체제의 형태를 보여주어 당시 사회를 이해하는데 귀중한 자료가 된다. 1991년 국보 제264호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11800.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11800.jpg,한국사 이미지 자료\images\ki_020\ki_020_11800.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11800&whereStr=
229,ki_020_11900,울진 봉평리 신라비,"울진 봉평리에 있는 신라시대의 비이다. 사다리꼴에 가까운 화강암을 사용하였고, 크기는 길이가 204cm, 글자가 새겨진 부분의 위 폭 32cm, 아래폭 54.5cm이다. 한 면을 다듬어 비문을 새겼는데, 글자 수는 400자 정도이다. 내용은 신라식의 독특한 한문체를 사용하여 파악이 어렵지만, 기본 줄거리는 울진 지방이 신라의 영토로 들어감에 따라 주민들의 항쟁이 일어나자, 신라에서는 육부(六部) 회의를 열고 대인(大人)을 보내어 벌을 주고, 다시 대항하지 않게 하려고 비를 세웠다는 내용이다. 1988년 국보 제242호로 지정되었다.",권순홍,삼국과 가야,유적>탑·비석,정치,문화재청 국가문화유산포털,,"#국보, #금석문, #봉평리, #신라",울진 봉평 신라비 (한국사 연대기) | https://contents.history.go.kr/id/kc_r100700,삼국과 가야|유적>탑·비석|정치,"울진 봉평리에 있는 신라시대의 비이다. 사다리꼴에 가까운 화강암을 사용하였고, 크기는 길이가 204cm, 글자가 새겨진 부분의 위 폭 32cm, 아래폭 54.5cm이다. 한 면을 다듬어 비문을 새겼는데, 글자 수는 400자 정도이다. 내용은 신라식의 독특한 한문체를 사용하여 파악이 어렵지만, 기본 줄거리는 울진 지방이 신라의 영토로 들어감에 따라 주민들의 항쟁이 일어나자, 신라에서는 육부(六部) 회의를 열고 대인(大人)을 보내어 벌을 주고, 다시 대항하지 않게 하려고 비를 세웠다는 내용이다. 1988년 국보 제242호로 지정되었다.",https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11900.thumbnail.jpg,https://contents.history.go.kr/data/img/ki/ki_020/ki_020_11900.jpg,한국사 이미지 자료\images\ki_020\ki_020_11900.jpg,https://contents.history.go.kr/front/ki/viewAjax.do?levelId=ki_020_11900&whereStr=
