round_no,recent5_rounds,source,rank,label,topic_top,label_with_topic,count,ratio
74,69~73,recent5_actual,3,일제 강점기 + 사건,사건 16,일제 강점기 + 사건 (사건 16),16,0.064
74,69~73,recent5_actual,4,일제 강점기 + 정치,"정치 6, 군사 4, 사회 4","일제 강점기 + 정치 (정치 6, 군사 4, 사회 4)",15,0.06
74,69~73,recent5_actual,5,고려 + 정치,"경제 5, 군사 5, 정치 3","고려 + 정치 (경제 5, 군사 5, 정치 3)",14,0.056
74,69~73,predicted,1,일제 강점기 + 정치,"정치 3, 사건 1, 사회 1","일제 강점기 + 정치 (정치 3, 사건 1, 사회 1)",6,0.12
74,69~73,predicted,2,개항기 + 사건,"사건 4, 외교 1","개항기 + 사건 (사건 4, 외교 1)",5,0.1
74,69~73,predicted,3,현대 + 사건,사건 4,현대 + 사건 (사건 4),4,0.08
74,69~73,predicted,4,고려 + 사건,사건 3,고려 + 사건 (사건 3),3,0.06
74,69~73,predicted,5,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
74,69~73,actual,1,개항기 + 사건,사건 4,개항기 + 사건 (사건 4),4,0.08
74,69~73,actual,2,일제 강점기 + 정치,"정치 2, 사회 1, 군사 1","일제 강점기 + 정치 (정치 2, 사회 1, 군사 1)",4,0.08
74,69~73,actual,3,현대 + 사건,사건 4,현대 + 사건 (사건 4),4,0.08
74,69~73,actual,4,고려 + 사건,사건 3,고려 + 사건 (사건 3),3,0.06
74,69~73,actual,5,조선 + 정치,"정치 1, 외교 1, 경제 1","조선 + 정치 (정치 1, 외교 1, 경제 1)",3,0.06
75,70~74,recent5_actual,1,개항기 + 사건,사건 22,개항기 + 사건 (사건 22),22,0.088
75,70~74,recent5_actual,2,일제 강점기 + 사건,사건 17,일제 강점기 + 사건 (사건 17),17,0.068
75,70~74,recent5_actual,3,일제 강점기 + 정치,"정치 6, 사회 5, 군사 4","일제 강점기 + 정치 (정치 6, 사회 5, 군사 4)",16,0.064
75,70~74,recent5_actual,4,조선 + 인물,인물 15,조선 + 인물 (인물 15),15,0.06
75,70~74,recent5_actual,5,고려 + 정치,"군사 5, 경제 4, 정치 4","고려 + 정치 (군사 5, 경제 4, 정치 4)",14,0.056
75,70~74,predicted,1,조선 + 사건,사건 4,조선 + 사건 (사건 4),4,0.08
75,70~74,predicted,2,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
75,70~74,predicted,3,일제 강점기 + 정치,"정치 2, 제도 1, 군사 1","일제 강점기 + 정치 (정치 2, 제도 1, 군사 1)",4,0.08
75,70~74,predicted,4,고려 + 사건,"사건 2, 군사 1","고려 + 사건 (사건 2, 군사 1)",3,0.06
75,70~74,predicted,5,현대 + 정치,"정치 2, 사건 1","현대 + 정치 (정치 2, 사건 1)",3,0.06
75,70~74,actual,1,고려 + 사건,사건 4,고려 + 사건 (사건 4),4,0.08
75,70~74,actual,2,조선 + 사건,사건 4,조선 + 사건 (사건 4),4,0.08
75,70~74,actual,3,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
75,70~74,actual,4,삼국 시대 + 정치,"정치 2, 경제 1","삼국 시대 + 정치 (정치 2, 경제 1)",3,0.06
75,70~74,actual,5,개항기 + 사건,사건 3,개항기 + 사건 (사건 3),3,0.06
76,71~75,recent5_actual,1,개항기 + 사건,사건 21,개항기 + 사건 (사건 21),21,0.084
76,71~75,recent5_actual,2,일제 강점기 + 사건,사건 17,일제 강점기 + 사건 (사건 17),17,0.068
76,71~75,recent5_actual,3,일제 강점기 + 정치,"정치 5, 군사 5, 사회 5","일제 강점기 + 정치 (정치 5, 군사 5, 사회 5)",16,0.064
76,71~75,recent5_actual,4,현대 + 사건,사건 15,현대 + 사건 (사건 15),15,0.06
76,71~75,recent5_actual,5,조선 + 사건,사건 13,조선 + 사건 (사건 13),13,0.052
76,71~75,predicted,1,조선 + 사건,사건 5,조선 + 사건 (사건 5),5,0.1
76,71~75,predicted,2,조선 + 인물,"인물 3, 문화 1","조선 + 인물 (인물 3, 문화 1)",4,0.08
76,71~75,predicted,3,일제 강점기 + 정치,"정치 2, 사회 1, 사건 1","일제 강점기 + 정치 (정치 2, 사회 1, 사건 1)",4,0.08
76,71~75,predicted,4,고려 + 사건,사건 3,고려 + 사건 (사건 3),3,0.06
76,71~75,predicted,5,조선 + 제도,제도 3,조선 + 제도 (제도 3),3,0.06
76,71~75,actual,1,개항기 + 사건,사건 4,개항기 + 사건 (사건 4),4,0.08
76,71~75,actual,2,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
76,71~75,actual,3,고려 + 사건,사건 3,고려 + 사건 (사건 3),3,0.06
76,71~75,actual,4,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
76,71~75,actual,5,조선 + 인물,인물 3,조선 + 인물 (인물 3),3,0.06
77,72~76,recent5_actual,1,개항기 + 사건,사건 21,개항기 + 사건 (사건 21),21,0.084
77,72~76,recent5_actual,2,일제 강점기 + 사건,사건 17,일제 강점기 + 사건 (사건 17),17,0.068
77,72~76,recent5_actual,3,조선 + 인물,인물 15,조선 + 인물 (인물 15),15,0.06
77,72~76,recent5_actual,4,일제 강점기 + 정치,"사회 5, 정치 5, 군사 4","일제 강점기 + 정치 (사회 5, 정치 5, 군사 4)",15,0.06
77,72~76,recent5_actual,5,현대 + 사건,사건 15,현대 + 사건 (사건 15),15,0.06
77,72~76,predicted,1,일제 강점기 + 사건,사건 5,일제 강점기 + 사건 (사건 5),5,0.1
77,72~76,predicted,2,고려 + 인물,인물 3,고려 + 인물 (인물 3),3,0.06
77,72~76,predicted,3,조선 + 제도,"제도 2, 인물 1","조선 + 제도 (제도 2, 인물 1)",3,0.06
77,72~76,predicted,4,조선 + 인물,인물 3,조선 + 인물 (인물 3),3,0.06
77,72~76,predicted,5,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
77,72~76,actual,1,고려 + 인물,인물 4,고려 + 인물 (인물 4),4,0.08
77,72~76,actual,2,개항기 + 사건,사건 4,개항기 + 사건 (사건 4),4,0.08
77,72~76,actual,3,일제 강점기 + 정치,"정치 2, 경제 1, 군사 1","일제 강점기 + 정치 (정치 2, 경제 1, 군사 1)",4,0.08
77,72~76,actual,4,조선 + 정치,"외교 1, 정치 1, 경제 1","조선 + 정치 (외교 1, 정치 1, 경제 1)",3,0.06
77,72~76,actual,5,삼국 시대 + 인물,인물 2,삼국 시대 + 인물 (인물 2),2,0.04
78,73~77,recent5_actual,1,개항기 + 사건,사건 20,개항기 + 사건 (사건 20),20,0.08
78,73~77,recent5_actual,2,일제 강점기 + 사건,사건 18,일제 강점기 + 사건 (사건 18),18,0.072
78,73~77,recent5_actual,3,일제 강점기 + 정치,"정치 7, 군사 4, 경제 2","일제 강점기 + 정치 (정치 7, 군사 4, 경제 2)",15,0.06
78,73~77,recent5_actual,4,현대 + 사건,사건 14,현대 + 사건 (사건 14),14,0.056
78,73~77,recent5_actual,5,조선 + 인물,인물 13,조선 + 인물 (인물 13),13,0.052
78,73~77,predicted,1,개항기 + 사건,사건 5,개항기 + 사건 (사건 5),5,0.1
78,73~77,predicted,2,고려 + 인물,"인물 3, 정치 1","고려 + 인물 (인물 3, 정치 1)",4,0.08
78,73~77,predicted,3,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
78,73~77,predicted,4,조선 + 제도,제도 3,조선 + 제도 (제도 3),3,0.06
78,73~77,predicted,5,현대 + 사건,사건 3,현대 + 사건 (사건 3),3,0.06
78,73~77,actual,1,고려 + 인물,인물 4,고려 + 인물 (인물 4),4,0.08
78,73~77,actual,2,개항기 + 사건,사건 4,개항기 + 사건 (사건 4),4,0.08
78,73~77,actual,3,일제 강점기 + 사건,사건 4,일제 강점기 + 사건 (사건 4),4,0.08
78,73~77,actual,4,현대 + 사건,사건 4,현대 + 사건 (사건 4),4,0.08
78,73~77,actual,5,조선 + 사건,사건 3,조선 + 사건 (사건 3),3,0.06
