target_round,recent5_rounds,source,source_name,usage,trend_type,rank,era,topic_train,topic,topic_summary,label,combo_label,combo_label_with_topic,count,ratio,ratio_percent
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic_train,5,,제도,,,제도,,,5,0.1,10.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,1,,사건,,,사건,,,19,0.38,38.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,2,,정치,,,정치,,,10,0.2,20.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,3,,문화,,,문화,,,8,0.16,16.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,4,,인물,,,인물,,,8,0.16,16.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic_train,5,,제도,,,제도,,,5,0.1,10.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,1,,,사건,,사건,,,89,0.356,35.6
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,2,,,인물,,인물,,,55,0.22,22.0
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,3,,,제도,,제도,,,31,0.124,12.4
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,4,,,문화,,문화,,,29,0.116,11.6
71,66~70,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,topic,5,,,정치,,정치,,,16,0.064,6.4
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,1,,,사건,,사건,,,19,0.38,38.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,2,,,인물,,인물,,,8,0.16,16.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,3,,,문화,,문화,,,6,0.12,12.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,4,,,제도,,제도,,,6,0.12,12.0
71,66~70,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,topic,5,,,정치,,정치,,,6,0.12,12.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,1,,,사건,,사건,,,18,0.36,36.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,2,,,문화,,문화,,,8,0.16,16.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,3,,,인물,,인물,,,8,0.16,16.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,4,,,정치,,정치,,,6,0.12,12.0
71,66~70,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,topic,5,,,제도,,제도,,,5,0.1,10.0
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,1,개항기,사건,,사건 21,개항기 + 사건,개항기 + 사건,개항기 + 사건 (사건 21),21,0.084,8.4
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,2,일제 강점기,사건,,사건 17,일제 강점기 + 사건,일제 강점기 + 사건,일제 강점기 + 사건 (사건 17),17,0.068,6.8
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,3,고려,사건,,"사건 14, 군사 1, 사회 1",고려 + 사건,고려 + 사건,"고려 + 사건 (사건 14, 군사 1, 사회 1)",16,0.064,6.4
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,4,조선,인물,,인물 14,조선 + 인물,조선 + 인물,조선 + 인물 (인물 14),14,0.056,5.6
72,67~71,recent5_actual,직전 5회차 실제 라벨 기준 TOP5,최근 출제 경향 통계/학습 계획 참고,era_topic_train,5,조선,제도,,제도 13,조선 + 제도,조선 + 제도,조선 + 제도 (제도 13),13,0.052,5.2
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,1,개항기,사건,,사건 6,개항기 + 사건,개항기 + 사건,개항기 + 사건 (사건 6),6,0.12,12.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,2,조선,인물,,인물 5,조선 + 인물,조선 + 인물,조선 + 인물 (인물 5),5,0.1,10.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,3,일제 강점기,정치,,"정치 2, 군사 1, 문화 1",일제 강점기 + 정치,일제 강점기 + 정치,"일제 강점기 + 정치 (정치 2, 군사 1, 문화 1)",4,0.08,8.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,4,고려,인물,,인물 3,고려 + 인물,고려 + 인물,고려 + 인물 (인물 3),3,0.06,6.0
72,67~71,predicted,해당 회차 모델 분류 기준 TOP5,모델 분류 결과 검증/라벨링 품질 확인,era_topic_train,5,조선,제도,,제도 3,조선 + 제도,조선 + 제도,조선 + 제도 (제도 3),3,0.06,6.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,1,개항기,사건,,사건 5,개항기 + 사건,개항기 + 사건,개항기 + 사건 (사건 5),5,0.1,10.0
72,67~71,actual,해당 회차 실제 라벨 기준 TOP5,해당 회차 실제 분포 비교 기준,era_topic_train,2,고려,정치,,"정치 2, 군사 1, 경제 1",고려 + 정치,고려 + 정치,"고려 + 정치 (정치 2, 군사 1, 경제 1)",4,0.08,8.0
