회차,최근5회차,분류,기준,순위,라벨,시대,통합주제,세부주제,세부주제요약,개수,비율,source,trend_type
71,66~70,통합주제,최근5회차 실제,1,사건,,사건,,,90,36.0%,recent5_actual,topic_train
71,66~70,통합주제,최근5회차 실제,2,인물,,인물,,,55,22.0%,recent5_actual,topic_train
71,66~70,통합주제,최근5회차 실제,3,정치,,정치,,,39,15.6%,recent5_actual,topic_train
71,66~70,통합주제,최근5회차 실제,4,문화,,문화,,,35,14.0%,recent5_actual,topic_train
71,66~70,통합주제,최근5회차 실제,5,제도,,제도,,,31,12.4%,recent5_actual,topic_train
71,66~70,통합주제,모델분류,1,사건,,사건,,,18,36.0%,predicted,topic_train
71,66~70,통합주제,모델분류,2,정치,,정치,,,12,24.0%,predicted,topic_train
71,66~70,통합주제,모델분류,3,인물,,인물,,,8,16.0%,predicted,topic_train
71,66~70,통합주제,모델분류,4,문화,,문화,,,7,14.0%,predicted,topic_train
71,66~70,통합주제,모델분류,5,제도,,제도,,,5,10.0%,predicted,topic_train
71,66~70,통합주제,해당회차 실제,1,사건,,사건,,,19,38.0%,actual,topic_train
71,66~70,통합주제,해당회차 실제,2,정치,,정치,,,10,20.0%,actual,topic_train
71,66~70,통합주제,해당회차 실제,3,문화,,문화,,,8,16.0%,actual,topic_train
71,66~70,통합주제,해당회차 실제,4,인물,,인물,,,8,16.0%,actual,topic_train
71,66~70,통합주제,해당회차 실제,5,제도,,제도,,,5,10.0%,actual,topic_train
71,66~70,세부주제,최근5회차 실제,1,사건,,,사건,,89,35.6%,recent5_actual,topic
71,66~70,세부주제,최근5회차 실제,2,인물,,,인물,,55,22.0%,recent5_actual,topic
71,66~70,세부주제,최근5회차 실제,3,제도,,,제도,,31,12.4%,recent5_actual,topic
71,66~70,세부주제,최근5회차 실제,4,문화,,,문화,,29,11.6%,recent5_actual,topic
71,66~70,세부주제,최근5회차 실제,5,정치,,,정치,,16,6.4%,recent5_actual,topic
71,66~70,세부주제,모델분류,1,사건,,,사건,,19,38.0%,predicted,topic
71,66~70,세부주제,모델분류,2,인물,,,인물,,8,16.0%,predicted,topic
71,66~70,세부주제,모델분류,3,문화,,,문화,,6,12.0%,predicted,topic
71,66~70,세부주제,모델분류,4,제도,,,제도,,6,12.0%,predicted,topic
71,66~70,세부주제,모델분류,5,정치,,,정치,,6,12.0%,predicted,topic
71,66~70,세부주제,해당회차 실제,1,사건,,,사건,,18,36.0%,actual,topic
71,66~70,세부주제,해당회차 실제,2,문화,,,문화,,8,16.0%,actual,topic
71,66~70,세부주제,해당회차 실제,3,인물,,,인물,,8,16.0%,actual,topic
71,66~70,세부주제,해당회차 실제,4,정치,,,정치,,6,12.0%,actual,topic
71,66~70,세부주제,해당회차 실제,5,제도,,,제도,,5,10.0%,actual,topic
72,67~71,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 21),개항기,사건,,사건 21,21,8.4%,recent5_actual,era_topic_train
72,67~71,시대+통합주제,최근5회차 실제,2,일제 강점기 + 사건 (사건 17),일제 강점기,사건,,사건 17,17,6.8%,recent5_actual,era_topic_train
72,67~71,시대+통합주제,최근5회차 실제,3,"고려 + 사건 (사건 14, 군사 1, 사회 1)",고려,사건,,"사건 14, 군사 1, 사회 1",16,6.4%,recent5_actual,era_topic_train
72,67~71,시대+통합주제,최근5회차 실제,4,조선 + 인물 (인물 14),조선,인물,,인물 14,14,5.6%,recent5_actual,era_topic_train
72,67~71,시대+통합주제,최근5회차 실제,5,조선 + 제도 (제도 13),조선,제도,,제도 13,13,5.2%,recent5_actual,era_topic_train
72,67~71,시대+통합주제,모델분류,1,개항기 + 사건 (사건 6),개항기,사건,,사건 6,6,12.0%,predicted,era_topic_train
72,67~71,시대+통합주제,모델분류,2,조선 + 인물 (인물 5),조선,인물,,인물 5,5,10.0%,predicted,era_topic_train
72,67~71,시대+통합주제,모델분류,3,"일제 강점기 + 정치 (정치 2, 군사 1, 문화 1)",일제 강점기,정치,,"정치 2, 군사 1, 문화 1",4,8.0%,predicted,era_topic_train
72,67~71,시대+통합주제,모델분류,4,고려 + 인물 (인물 3),고려,인물,,인물 3,3,6.0%,predicted,era_topic_train
72,67~71,시대+통합주제,모델분류,5,조선 + 제도 (제도 3),조선,제도,,제도 3,3,6.0%,predicted,era_topic_train
72,67~71,시대+통합주제,해당회차 실제,1,개항기 + 사건 (사건 5),개항기,사건,,사건 5,5,10.0%,actual,era_topic_train
72,67~71,시대+통합주제,해당회차 실제,2,"고려 + 정치 (정치 2, 군사 1, 경제 1)",고려,정치,,"정치 2, 군사 1, 경제 1",4,8.0%,actual,era_topic_train
72,67~71,시대+통합주제,해당회차 실제,3,조선 + 인물 (인물 4),조선,인물,,인물 4,4,8.0%,actual,era_topic_train
72,67~71,시대+통합주제,해당회차 실제,4,"일제 강점기 + 정치 (사회 3, 군사 1)",일제 강점기,정치,,"사회 3, 군사 1",4,8.0%,actual,era_topic_train
72,67~71,시대+통합주제,해당회차 실제,5,"조선 + 정치 (외교 1, 경제 1, 정치 1)",조선,정치,,"외교 1, 경제 1, 정치 1",3,6.0%,actual,era_topic_train
72,67~71,시대,최근5회차 실제,1,조선,조선,,,,54,21.6%,recent5_actual,era
72,67~71,시대,최근5회차 실제,2,고려,고려,,,,44,17.6%,recent5_actual,era
72,67~71,시대,최근5회차 실제,3,일제 강점기,일제 강점기,,,,37,14.8%,recent5_actual,era
72,67~71,시대,최근5회차 실제,4,개항기,개항기,,,,32,12.8%,recent5_actual,era
72,67~71,시대,최근5회차 실제,5,현대,현대,,,,32,12.8%,recent5_actual,era
72,67~71,시대,모델분류,1,조선,조선,,,,12,24.0%,predicted,era
72,67~71,시대,모델분류,2,고려,고려,,,,8,16.0%,predicted,era
72,67~71,시대,모델분류,3,개항기,개항기,,,,7,14.0%,predicted,era
72,67~71,시대,모델분류,4,일제 강점기,일제 강점기,,,,7,14.0%,predicted,era
72,67~71,시대,모델분류,5,남북국 시대,남북국 시대,,,,6,12.0%,predicted,era
72,67~71,시대,해당회차 실제,1,조선,조선,,,,12,24.0%,actual,era
72,67~71,시대,해당회차 실제,2,고려,고려,,,,9,18.0%,actual,era
72,67~71,시대,해당회차 실제,3,개항기,개항기,,,,7,14.0%,actual,era
72,67~71,시대,해당회차 실제,4,일제 강점기,일제 강점기,,,,7,14.0%,actual,era
72,67~71,시대,해당회차 실제,5,현대,현대,,,,5,10.0%,actual,era
72,67~71,통합주제,최근5회차 실제,1,사건,,사건,,,90,36.0%,recent5_actual,topic_train
72,67~71,통합주제,최근5회차 실제,2,인물,,인물,,,52,20.8%,recent5_actual,topic_train
72,67~71,통합주제,최근5회차 실제,3,정치,,정치,,,43,17.2%,recent5_actual,topic_train
72,67~71,통합주제,최근5회차 실제,4,문화,,문화,,,36,14.4%,recent5_actual,topic_train
72,67~71,통합주제,최근5회차 실제,5,제도,,제도,,,29,11.6%,recent5_actual,topic_train
72,67~71,통합주제,모델분류,1,사건,,사건,,,15,30.0%,predicted,topic_train
72,67~71,통합주제,모델분류,2,인물,,인물,,,12,24.0%,predicted,topic_train
72,67~71,통합주제,모델분류,3,정치,,정치,,,11,22.0%,predicted,topic_train
72,67~71,통합주제,모델분류,4,문화,,문화,,,6,12.0%,predicted,topic_train
72,67~71,통합주제,모델분류,5,제도,,제도,,,6,12.0%,predicted,topic_train
72,67~71,통합주제,해당회차 실제,1,정치,,정치,,,20,40.0%,actual,topic_train
72,67~71,통합주제,해당회차 실제,2,사건,,사건,,,12,24.0%,actual,topic_train
72,67~71,통합주제,해당회차 실제,3,인물,,인물,,,8,16.0%,actual,topic_train
72,67~71,통합주제,해당회차 실제,4,제도,,제도,,,5,10.0%,actual,topic_train
72,67~71,통합주제,해당회차 실제,5,문화,,문화,,,5,10.0%,actual,topic_train
72,67~71,세부주제,최근5회차 실제,1,사건,,,사건,,88,35.2%,recent5_actual,topic
72,67~71,세부주제,최근5회차 실제,2,인물,,,인물,,52,20.8%,recent5_actual,topic
72,67~71,세부주제,최근5회차 실제,3,문화,,,문화,,31,12.4%,recent5_actual,topic
72,67~71,세부주제,최근5회차 실제,4,제도,,,제도,,29,11.6%,recent5_actual,topic
72,67~71,세부주제,최근5회차 실제,5,정치,,,정치,,21,8.4%,recent5_actual,topic
72,67~71,세부주제,모델분류,1,사건,,,사건,,14,28.0%,predicted,topic
72,67~71,세부주제,모델분류,2,인물,,,인물,,13,26.0%,predicted,topic
72,67~71,세부주제,모델분류,3,문화,,,문화,,7,14.0%,predicted,topic
72,67~71,세부주제,모델분류,4,제도,,,제도,,5,10.0%,predicted,topic
72,67~71,세부주제,모델분류,5,정치,,,정치,,5,10.0%,predicted,topic
72,67~71,세부주제,해당회차 실제,1,사건,,,사건,,12,24.0%,actual,topic
72,67~71,세부주제,해당회차 실제,2,정치,,,정치,,10,20.0%,actual,topic
72,67~71,세부주제,해당회차 실제,3,인물,,,인물,,8,16.0%,actual,topic
72,67~71,세부주제,해당회차 실제,4,제도,,,제도,,5,10.0%,actual,topic
72,67~71,세부주제,해당회차 실제,5,문화,,,문화,,5,10.0%,actual,topic
73,68~72,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 22),개항기,사건,,사건 22,22,8.8%,recent5_actual,era_topic_train
73,68~72,시대+통합주제,최근5회차 실제,2,조선 + 인물 (인물 16),조선,인물,,인물 16,16,6.4%,recent5_actual,era_topic_train
73,68~72,시대+통합주제,최근5회차 실제,3,일제 강점기 + 사건 (사건 15),일제 강점기,사건,,사건 15,15,6.0%,recent5_actual,era_topic_train
73,68~72,시대+통합주제,최근5회차 실제,4,"일제 강점기 + 정치 (정치 6, 군사 4, 사회 3)",일제 강점기,정치,,"정치 6, 군사 4, 사회 3",14,5.6%,recent5_actual,era_topic_train
73,68~72,시대+통합주제,최근5회차 실제,5,"고려 + 정치 (정치 4, 경제 4, 군사 3)",고려,정치,,"정치 4, 경제 4, 군사 3",13,5.2%,recent5_actual,era_topic_train
73,68~72,시대+통합주제,모델분류,1,"개항기 + 사건 (사건 5, 외교 1)",개항기,사건,,"사건 5, 외교 1",6,12.0%,predicted,era_topic_train
73,68~72,시대+통합주제,모델분류,2,일제 강점기 + 사건 (사건 5),일제 강점기,사건,,사건 5,5,10.0%,predicted,era_topic_train
73,68~72,시대+통합주제,모델분류,3,"현대 + 사건 (사건 3, 정치 1)",현대,사건,,"사건 3, 정치 1",4,8.0%,predicted,era_topic_train
73,68~72,시대+통합주제,모델분류,4,"고려 + 사건 (사건 1, 인물 1, 군사 1)",고려,사건,,"사건 1, 인물 1, 군사 1",3,6.0%,predicted,era_topic_train
73,68~72,시대+통합주제,모델분류,5,조선 + 인물 (인물 3),조선,인물,,인물 3,3,6.0%,predicted,era_topic_train
73,68~72,시대+통합주제,해당회차 실제,1,개항기 + 사건 (사건 5),개항기,사건,,사건 5,5,10.0%,actual,era_topic_train
73,68~72,시대+통합주제,해당회차 실제,2,일제 강점기 + 사건 (사건 5),일제 강점기,사건,,사건 5,5,10.0%,actual,era_topic_train
73,68~72,시대+통합주제,해당회차 실제,3,"고려 + 정치 (군사 2, 정치 1, 경제 1)",고려,정치,,"군사 2, 정치 1, 경제 1",4,8.0%,actual,era_topic_train
73,68~72,시대+통합주제,해당회차 실제,4,조선 + 인물 (인물 4),조선,인물,,인물 4,4,8.0%,actual,era_topic_train
73,68~72,시대+통합주제,해당회차 실제,5,"삼국 시대 + 정치 (외교 1, 정치 1, 군사 1)",삼국 시대,정치,,"외교 1, 정치 1, 군사 1",3,6.0%,actual,era_topic_train
73,68~72,시대,최근5회차 실제,1,조선,조선,,,,56,22.4%,recent5_actual,era
73,68~72,시대,최근5회차 실제,2,고려,고려,,,,41,16.4%,recent5_actual,era
73,68~72,시대,최근5회차 실제,3,일제 강점기,일제 강점기,,,,37,14.8%,recent5_actual,era
73,68~72,시대,최근5회차 실제,4,현대,현대,,,,34,13.6%,recent5_actual,era
73,68~72,시대,최근5회차 실제,5,개항기,개항기,,,,30,12.0%,recent5_actual,era
73,68~72,시대,모델분류,1,조선,조선,,,,11,22.0%,predicted,era
73,68~72,시대,모델분류,2,일제 강점기,일제 강점기,,,,10,20.0%,predicted,era
73,68~72,시대,모델분류,3,고려,고려,,,,8,16.0%,predicted,era
73,68~72,시대,모델분류,4,개항기,개항기,,,,6,12.0%,predicted,era
73,68~72,시대,모델분류,5,현대,현대,,,,5,10.0%,predicted,era
73,68~72,시대,해당회차 실제,1,조선,조선,,,,11,22.0%,actual,era
73,68~72,시대,해당회차 실제,2,일제 강점기,일제 강점기,,,,10,20.0%,actual,era
73,68~72,시대,해당회차 실제,3,고려,고려,,,,8,16.0%,actual,era
73,68~72,시대,해당회차 실제,4,개항기,개항기,,,,6,12.0%,actual,era
73,68~72,시대,해당회차 실제,5,삼국 시대,삼국 시대,,,,5,10.0%,actual,era
73,68~72,통합주제,최근5회차 실제,1,사건,,사건,,,85,34.0%,recent5_actual,topic_train
73,68~72,통합주제,최근5회차 실제,2,정치,,정치,,,56,22.4%,recent5_actual,topic_train
73,68~72,통합주제,최근5회차 실제,3,인물,,인물,,,50,20.0%,recent5_actual,topic_train
73,68~72,통합주제,최근5회차 실제,4,문화,,문화,,,33,13.2%,recent5_actual,topic_train
73,68~72,통합주제,최근5회차 실제,5,제도,,제도,,,26,10.4%,recent5_actual,topic_train
73,68~72,통합주제,모델분류,1,사건,,사건,,,22,44.0%,predicted,topic_train
73,68~72,통합주제,모델분류,2,인물,,인물,,,8,16.0%,predicted,topic_train
73,68~72,통합주제,모델분류,3,제도,,제도,,,8,16.0%,predicted,topic_train
73,68~72,통합주제,모델분류,4,정치,,정치,,,7,14.0%,predicted,topic_train
73,68~72,통합주제,모델분류,5,문화,,문화,,,5,10.0%,predicted,topic_train
73,68~72,통합주제,해당회차 실제,1,사건,,사건,,,17,34.0%,actual,topic_train
73,68~72,통합주제,해당회차 실제,2,정치,,정치,,,14,28.0%,actual,topic_train
73,68~72,통합주제,해당회차 실제,3,인물,,인물,,,7,14.0%,actual,topic_train
73,68~72,통합주제,해당회차 실제,4,문화,,문화,,,6,12.0%,actual,topic_train
73,68~72,통합주제,해당회차 실제,5,제도,,제도,,,6,12.0%,actual,topic_train
73,68~72,세부주제,최근5회차 실제,1,사건,,,사건,,83,33.2%,recent5_actual,topic
73,68~72,세부주제,최근5회차 실제,2,인물,,,인물,,50,20.0%,recent5_actual,topic
73,68~72,세부주제,최근5회차 실제,3,문화,,,문화,,30,12.0%,recent5_actual,topic
73,68~72,세부주제,최근5회차 실제,4,정치,,,정치,,29,11.6%,recent5_actual,topic
73,68~72,세부주제,최근5회차 실제,5,제도,,,제도,,26,10.4%,recent5_actual,topic
73,68~72,세부주제,모델분류,1,사건,,,사건,,19,38.0%,predicted,topic
73,68~72,세부주제,모델분류,2,인물,,,인물,,9,18.0%,predicted,topic
73,68~72,세부주제,모델분류,3,제도,,,제도,,6,12.0%,predicted,topic
73,68~72,세부주제,모델분류,4,문화,,,문화,,5,10.0%,predicted,topic
73,68~72,세부주제,모델분류,5,정치,,,정치,,4,8.0%,predicted,topic
73,68~72,세부주제,해당회차 실제,1,사건,,,사건,,17,34.0%,actual,topic
73,68~72,세부주제,해당회차 실제,2,인물,,,인물,,7,14.0%,actual,topic
73,68~72,세부주제,해당회차 실제,3,제도,,,제도,,6,12.0%,actual,topic
73,68~72,세부주제,해당회차 실제,4,문화,,,문화,,5,10.0%,actual,topic
73,68~72,세부주제,해당회차 실제,5,군사,,,군사,,4,8.0%,actual,topic
74,69~73,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 22),개항기,사건,,사건 22,22,8.8%,recent5_actual,era_topic_train
74,69~73,시대+통합주제,최근5회차 실제,2,조선 + 인물 (인물 17),조선,인물,,인물 17,17,6.8%,recent5_actual,era_topic_train
74,69~73,시대+통합주제,최근5회차 실제,3,일제 강점기 + 사건 (사건 16),일제 강점기,사건,,사건 16,16,6.4%,recent5_actual,era_topic_train
74,69~73,시대+통합주제,최근5회차 실제,4,"일제 강점기 + 정치 (정치 6, 군사 4, 사회 4)",일제 강점기,정치,,"정치 6, 군사 4, 사회 4",15,6.0%,recent5_actual,era_topic_train
74,69~73,시대+통합주제,최근5회차 실제,5,"고려 + 정치 (경제 5, 군사 5, 정치 3)",고려,정치,,"경제 5, 군사 5, 정치 3",14,5.6%,recent5_actual,era_topic_train
74,69~73,시대+통합주제,모델분류,1,"일제 강점기 + 정치 (정치 3, 사건 1, 사회 1)",일제 강점기,정치,,"정치 3, 사건 1, 사회 1",6,12.0%,predicted,era_topic_train
74,69~73,시대+통합주제,모델분류,2,"개항기 + 사건 (사건 4, 외교 1)",개항기,사건,,"사건 4, 외교 1",5,10.0%,predicted,era_topic_train
74,69~73,시대+통합주제,모델분류,3,현대 + 사건 (사건 4),현대,사건,,사건 4,4,8.0%,predicted,era_topic_train
74,69~73,시대+통합주제,모델분류,4,고려 + 사건 (사건 3),고려,사건,,사건 3,3,6.0%,predicted,era_topic_train
74,69~73,시대+통합주제,모델분류,5,조선 + 사건 (사건 3),조선,사건,,사건 3,3,6.0%,predicted,era_topic_train
74,69~73,시대+통합주제,해당회차 실제,1,개항기 + 사건 (사건 4),개항기,사건,,사건 4,4,8.0%,actual,era_topic_train
74,69~73,시대+통합주제,해당회차 실제,2,"일제 강점기 + 정치 (정치 2, 사회 1, 군사 1)",일제 강점기,정치,,"정치 2, 사회 1, 군사 1",4,8.0%,actual,era_topic_train
74,69~73,시대+통합주제,해당회차 실제,3,현대 + 사건 (사건 4),현대,사건,,사건 4,4,8.0%,actual,era_topic_train
74,69~73,시대+통합주제,해당회차 실제,4,고려 + 사건 (사건 3),고려,사건,,사건 3,3,6.0%,actual,era_topic_train
74,69~73,시대+통합주제,해당회차 실제,5,"조선 + 정치 (정치 1, 외교 1, 경제 1)",조선,정치,,"정치 1, 외교 1, 경제 1",3,6.0%,actual,era_topic_train
74,69~73,시대,최근5회차 실제,1,조선,조선,,,,54,21.6%,recent5_actual,era
74,69~73,시대,최근5회차 실제,2,고려,고려,,,,41,16.4%,recent5_actual,era
74,69~73,시대,최근5회차 실제,3,일제 강점기,일제 강점기,,,,41,16.4%,recent5_actual,era
74,69~73,시대,최근5회차 실제,4,현대,현대,,,,32,12.8%,recent5_actual,era
74,69~73,시대,최근5회차 실제,5,개항기,개항기,,,,30,12.0%,recent5_actual,era
74,69~73,시대,모델분류,1,조선,조선,,,,10,20.0%,predicted,era
74,69~73,시대,모델분류,2,고려,고려,,,,9,18.0%,predicted,era
74,69~73,시대,모델분류,3,일제 강점기,일제 강점기,,,,9,18.0%,predicted,era
74,69~73,시대,모델분류,4,개항기,개항기,,,,7,14.0%,predicted,era
74,69~73,시대,모델분류,5,현대,현대,,,,6,12.0%,predicted,era
74,69~73,시대,해당회차 실제,1,조선,조선,,,,10,20.0%,actual,era
74,69~73,시대,해당회차 실제,2,고려,고려,,,,9,18.0%,actual,era
74,69~73,시대,해당회차 실제,3,일제 강점기,일제 강점기,,,,9,18.0%,actual,era
74,69~73,시대,해당회차 실제,4,개항기,개항기,,,,7,14.0%,actual,era
74,69~73,시대,해당회차 실제,5,현대,현대,,,,6,12.0%,actual,era
74,69~73,통합주제,최근5회차 실제,1,사건,,사건,,,83,33.2%,recent5_actual,topic_train
74,69~73,통합주제,최근5회차 실제,2,정치,,정치,,,62,24.8%,recent5_actual,topic_train
74,69~73,통합주제,최근5회차 실제,3,인물,,인물,,,49,19.6%,recent5_actual,topic_train
74,69~73,통합주제,최근5회차 실제,4,문화,,문화,,,31,12.4%,recent5_actual,topic_train
74,69~73,통합주제,최근5회차 실제,5,제도,,제도,,,25,10.0%,recent5_actual,topic_train
74,69~73,통합주제,모델분류,1,사건,,사건,,,17,34.0%,predicted,topic_train
74,69~73,통합주제,모델분류,2,정치,,정치,,,15,30.0%,predicted,topic_train
74,69~73,통합주제,모델분류,3,인물,,인물,,,8,16.0%,predicted,topic_train
74,69~73,통합주제,모델분류,4,문화,,문화,,,5,10.0%,predicted,topic_train
74,69~73,통합주제,모델분류,5,제도,,제도,,,5,10.0%,predicted,topic_train
74,69~73,통합주제,해당회차 실제,1,사건,,사건,,,17,34.0%,actual,topic_train
74,69~73,통합주제,해당회차 실제,2,정치,,정치,,,10,20.0%,actual,topic_train
74,69~73,통합주제,해당회차 실제,3,인물,,인물,,,10,20.0%,actual,topic_train
74,69~73,통합주제,해당회차 실제,4,문화,,문화,,,7,14.0%,actual,topic_train
74,69~73,통합주제,해당회차 실제,5,제도,,제도,,,6,12.0%,actual,topic_train
74,69~73,세부주제,최근5회차 실제,1,사건,,,사건,,81,32.4%,recent5_actual,topic
74,69~73,세부주제,최근5회차 실제,2,인물,,,인물,,49,19.6%,recent5_actual,topic
74,69~73,세부주제,최근5회차 실제,3,정치,,,정치,,28,11.2%,recent5_actual,topic
74,69~73,세부주제,최근5회차 실제,4,문화,,,문화,,27,10.8%,recent5_actual,topic
74,69~73,세부주제,최근5회차 실제,5,제도,,,제도,,25,10.0%,recent5_actual,topic
74,69~73,세부주제,모델분류,1,사건,,,사건,,18,36.0%,predicted,topic
74,69~73,세부주제,모델분류,2,인물,,,인물,,9,18.0%,predicted,topic
74,69~73,세부주제,모델분류,3,정치,,,정치,,7,14.0%,predicted,topic
74,69~73,세부주제,모델분류,4,문화,,,문화,,4,8.0%,predicted,topic
74,69~73,세부주제,모델분류,5,사회,,,사회,,4,8.0%,predicted,topic
74,69~73,세부주제,해당회차 실제,1,사건,,,사건,,17,34.0%,actual,topic
74,69~73,세부주제,해당회차 실제,2,인물,,,인물,,10,20.0%,actual,topic
74,69~73,세부주제,해당회차 실제,3,문화,,,문화,,6,12.0%,actual,topic
74,69~73,세부주제,해당회차 실제,4,제도,,,제도,,6,12.0%,actual,topic
74,69~73,세부주제,해당회차 실제,5,정치,,,정치,,5,10.0%,actual,topic
75,70~74,시대+통합주제,최근5회차 실제,1,개항기 + 사건 (사건 22),개항기,사건,,사건 22,22,8.8%,recent5_actual,era_topic_train
75,70~74,시대+통합주제,최근5회차 실제,2,일제 강점기 + 사건 (사건 17),일제 강점기,사건,,사건 17,17,6.8%,recent5_actual,era_topic_train
75,70~74,시대+통합주제,최근5회차 실제,3,"일제 강점기 + 정치 (정치 6, 사회 5, 군사 4)",일제 강점기,정치,,"정치 6, 사회 5, 군사 4",16,6.4%,recent5_actual,era_topic_train
75,70~74,시대+통합주제,최근5회차 실제,4,조선 + 인물 (인물 15),조선,인물,,인물 15,15,6.0%,recent5_actual,era_topic_train
75,70~74,시대+통합주제,최근5회차 실제,5,"고려 + 정치 (군사 5, 경제 4, 정치 4)",고려,정치,,"군사 5, 경제 4, 정치 4",14,5.6%,recent5_actual,era_topic_train
75,70~74,시대+통합주제,모델분류,1,조선 + 사건 (사건 4),조선,사건,,사건 4,4,8.0%,predicted,era_topic_train
75,70~74,시대+통합주제,모델분류,2,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,predicted,era_topic_train
75,70~74,시대+통합주제,모델분류,3,"일제 강점기 + 정치 (정치 2, 제도 1, 군사 1)",일제 강점기,정치,,"정치 2, 제도 1, 군사 1",4,8.0%,predicted,era_topic_train
75,70~74,시대+통합주제,모델분류,4,"고려 + 사건 (사건 2, 군사 1)",고려,사건,,"사건 2, 군사 1",3,6.0%,predicted,era_topic_train
75,70~74,시대+통합주제,모델분류,5,"현대 + 정치 (정치 2, 사건 1)",현대,정치,,"정치 2, 사건 1",3,6.0%,predicted,era_topic_train
75,70~74,시대+통합주제,해당회차 실제,1,고려 + 사건 (사건 4),고려,사건,,사건 4,4,8.0%,actual,era_topic_train
75,70~74,시대+통합주제,해당회차 실제,2,조선 + 사건 (사건 4),조선,사건,,사건 4,4,8.0%,actual,era_topic_train
75,70~74,시대+통합주제,해당회차 실제,3,일제 강점기 + 사건 (사건 4),일제 강점기,사건,,사건 4,4,8.0%,actual,era_topic_train
75,70~74,시대+통합주제,해당회차 실제,4,"삼국 시대 + 정치 (정치 2, 경제 1)",삼국 시대,정치,,"정치 2, 경제 1",3,6.0%,actual,era_topic_train
