event_id,date_text,start_year,end_year,start_month,end_month,start_reign_name,start_reign_year,end_reign_name,end_reign_year,date_precision,parse_status
ITKC_PH_1294A_0350,947년(정종 2),947,947,,,정종,2,정종,2,EXACT_YEAR,PARSED
ITKC_PH_1294A_0351,958년(광종 9) 5월,958,958,5,5,광종,9,광종,9,YEAR_MONTH,PARSED
ITKC_PH_1294A_0352,964년(광종 15) 8월,964,964,8,8,광종,15,광종,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0353,965년(광종 16) 7월,965,965,7,7,광종,16,광종,16,YEAR_MONTH,PARSED
ITKC_PH_1294A_0354,982년(성종 원년) 6월,982,982,6,6,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0355,987년(성종 6) 3월,987,987,3,3,성종,6,성종,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0356,989년(성종 8) 5월,989,989,5,5,성종,8,성종,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0446,"1231년(고종 18) 11월
~ 1232년(고종 19) 3월",1231,1232,11,3,고종,18,고종,19,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0359,1003년(목종 6),1003,1003,,,목종,6,목종,6,EXACT_YEAR,PARSED
ITKC_PH_1294A_0360,1009년(목종 12) 1월,1009,1009,1,1,목종,12,목종,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0361,1009년(목종 12) 2월,1009,1009,2,2,목종,12,목종,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0362,1010년(현종 원년) 11월,1010,1010,11,11,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0363,"1011년(현종 2) 1월
~ 1011년(현종 2) 2월",1011,1011,1,2,현종,2,현종,2,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0364,"1014년(현종 5) 11월
~ 1015년(현종 6) 3월",1014,1015,11,3,현종,5,현종,6,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0371,1036년(정종 2) 12월,1036,1036,12,12,정종,2,정종,2,YEAR_MONTH,PARSED
ITKC_PH_1294A_0372,1056년(문종 10) 2월,1056,1056,2,2,문종,10,문종,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0373,1056년(문종 10) 9월,1056,1056,9,9,문종,10,문종,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0374,1068년(문종 22) 9월,1068,1068,9,9,문종,22,문종,22,YEAR_MONTH,PARSED
ITKC_PH_1294A_0445,1232년(고종 19) 1월,1232,1232,1,1,고종,19,고종,19,YEAR_MONTH,PARSED
ITKC_PH_1294A_0448,"1233년(고종 20) 5월
~ 1233년(고종 20) 6월",1233,1233,5,6,고종,20,고종,20,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0449,1233년(고종 20) 12월,1233,1233,12,12,고종,20,고종,20,YEAR_MONTH,PARSED
ITKC_PH_1294A_0424,"1190년(명종 20) 1월
~ 1233년(고종 20)",1190,1233,1,,명종,20,고종,20,YEAR_RANGE,PARSED
ITKC_PH_1294A_0450,1236년(고종 23) 9월,1236,1236,9,9,고종,23,고종,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0451,1237년(고종 24),1237,1237,,,고종,24,고종,24,EXACT_YEAR,PARSED
ITKC_PH_1294A_0452,1240년(고종 27) 12월,1240,1240,12,12,고종,27,고종,27,YEAR_MONTH,PARSED
ITKC_PH_1294A_0453,1241년(고종 28) 4월,1241,1241,4,4,고종,28,고종,28,YEAR_MONTH,PARSED
ITKC_PH_1294A_0454,1247년(고종 34) 6월,1247,1247,6,6,고종,34,고종,34,YEAR_MONTH,PARSED
ITKC_PH_1294A_0455,1249년(고종 36) 윤2월,1249,1249,2,2,고종,36,고종,36,YEAR_MONTH,PARSED
ITKC_PH_1294A_0456,1249년(고종 36) 11월,1249,1249,11,11,고종,36,고종,36,YEAR_MONTH,PARSED
ITKC_PH_1294A_0457,1251년(고종 38) 3월,1251,1251,3,3,고종,38,고종,38,YEAR_MONTH,PARSED
ITKC_PH_1294A_0458,1252년(고종 39) 7월,1252,1252,7,7,고종,39,고종,39,YEAR_MONTH,PARSED
ITKC_PH_1294A_0459,"1253년(고종 40) 10월
~ 1253년(고종 40) 12월",1253,1253,10,12,고종,40,고종,40,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0539,1253년(공민왕 2) 8월,1253,1253,8,8,공민왕,2,공민왕,2,YEAR_MONTH,PARSED
ITKC_PH_1294A_0460,1254년(고종 40) 1월,1254,1254,1,1,고종,40,고종,40,YEAR_MONTH,PARSED
ITKC_PH_1294A_0461,1257년(고종 44) 4월,1257,1257,4,4,고종,44,고종,44,YEAR_MONTH,PARSED
ITKC_PH_1294A_0462,1257년(고종 44) 윤4월,1257,1257,4,4,고종,44,고종,44,YEAR_MONTH,PARSED
ITKC_PH_1294A_0463,1258년(고종 45) 1월,1258,1258,1,1,고종,45,고종,45,YEAR_MONTH,PARSED
ITKC_PH_1294A_0464,1258년(고종 45) 3월,1258,1258,3,3,고종,45,고종,45,YEAR_MONTH,PARSED
ITKC_PH_1294A_0465,1258년(고종 45) 7월,1258,1258,7,7,고종,45,고종,45,YEAR_MONTH,PARSED
ITKC_PH_1294A_0467,1259년(고종 46) 6월,1259,1259,6,6,고종,46,고종,46,YEAR_MONTH,PARSED
ITKC_PH_1294A_0466,"1259년(고종 46) 4월
~ 1260년(원종 1) 3월",1259,1260,4,3,고종,46,원종,1,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0468,1260년(원종 1) 3월,1260,1260,3,3,원종,1,원종,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0469,"1267년(원종 8) 1월
~ 1267년(원종 8) 8월",1267,1267,1,8,원종,8,원종,8,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0470,1268년(원종 9) 6월,1268,1268,6,6,원종,9,원종,9,YEAR_MONTH,PARSED
ITKC_PH_1294A_0471,1268년(원종 9) 12월,1268,1268,12,12,원종,9,원종,9,YEAR_MONTH,PARSED
ITKC_PH_1294A_0472,1269년(원종 10) 4월,1269,1269,4,4,원종,10,원종,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0473,1269년(원종 10) 6월,1269,1269,6,6,원종,10,원종,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0474,1269년(원종 10) 10월,1269,1269,10,10,원종,10,원종,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0447,"1232년(고종 19) 6월
~ 1270년(원종 11) 5월",1232,1270,6,5,고종,19,원종,11,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0475,1270년(원종 11) 2월,1270,1270,2,2,원종,11,원종,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0476,1270년(원종 11) 5월,1270,1270,5,5,원종,11,원종,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0478,1271년(원종 12) 1월,1271,1271,1,1,원종,12,원종,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0477,"1270년(원종 11) 6월
~ 1273년(원종 14) 4월",1270,1273,6,4,원종,11,원종,14,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0479,1273년(원종 14) 4월,1273,1273,4,4,원종,14,원종,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0480,1274년(충렬왕 즉위) 10월,1274,1274,10,10,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0481,1274년(충렬왕 즉위) 10월,1274,1274,10,10,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0482,1276년(충렬왕 2) 12월,1276,1276,12,12,충렬왕,2,충렬왕,2,YEAR_MONTH,PARSED
ITKC_PH_1294A_0483,1277년(충렬왕 3) 7월,1277,1277,7,7,충렬왕,3,충렬왕,3,YEAR_MONTH,PARSED
ITKC_PH_1294A_0484,1277년(충렬왕 3) 12월,1277,1277,12,12,충렬왕,3,충렬왕,3,YEAR_MONTH,PARSED
ITKC_PH_1294A_0485,1278년(충렬왕 4) 7월,1278,1278,7,7,충렬왕,4,충렬왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0486,1278년(충렬왕 4) 10월,1278,1278,10,10,충렬왕,4,충렬왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0487,1279년(충렬왕 5) 9월,1279,1279,9,9,충렬왕,5,충렬왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0488,1281년(충렬왕 6) 6월,1281,1281,6,6,충렬왕,6,충렬왕,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0489,1281년(충렬왕 7) 12월,1281,1281,12,12,충렬왕,7,충렬왕,7,YEAR_MONTH,PARSED
ITKC_PH_1294A_0490,1282년(충렬왕 8) 9월,1282,1282,9,9,충렬왕,8,충렬왕,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0491,1286년(충렬왕 12) 2월,1286,1286,2,2,충렬왕,12,충렬왕,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0492,1287년(충렬왕 13) 11월,1287,1287,11,11,충렬왕,13,충렬왕,13,YEAR_MONTH,PARSED
ITKC_PH_1294A_0493,1289년(충렬왕 15) 3월,1289,1289,3,3,충렬왕,15,충렬왕,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0494,1289년(충렬왕 15) 11월,1289,1289,11,11,충렬왕,15,충렬왕,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0495,1290년(충렬왕 16) 11월,1290,1290,11,11,충렬왕,16,충렬왕,16,YEAR_MONTH,PARSED
ITKC_PH_1294A_0496,"1291년(충렬왕 17) 1월
~ 1291년(충렬왕 17) 4월",1291,1291,1,4,충렬왕,17,충렬왕,17,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0497,1292년(충렬왕 18) 9월,1292,1292,9,9,충렬왕,18,충렬왕,18,YEAR_MONTH,PARSED
ITKC_PH_1294A_0498,1294년(충렬왕 20) 5월,1294,1294,5,5,충렬왕,20,충렬왕,20,YEAR_MONTH,PARSED
ITKC_PH_1294A_0499,1295년(충렬왕 21) 8월,1295,1295,8,8,충렬왕,21,충렬왕,21,YEAR_MONTH,PARSED
ITKC_PH_1294A_0500,1297년(충렬왕 23) 7월,1297,1297,7,7,충렬왕,23,충렬왕,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0501,1297년(충렬왕 23) 윤12월,1297,1297,12,12,충렬왕,23,충렬왕,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0502,1298년(충렬왕 24) 1월,1298,1298,1,1,충렬왕,24,충렬왕,24,YEAR_MONTH,PARSED
ITKC_PH_1294A_0503,1298년(충렬왕 24) 1월,1298,1298,1,1,충렬왕,24,충렬왕,24,YEAR_MONTH,PARSED
ITKC_PH_1294A_0504,"1298년(충렬왕 24) 4월
~ 1298년(충렬왕 24) 6월",1298,1298,4,6,충렬왕,24,충렬왕,24,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0505,1298년(충렬왕 24) 5월,1298,1298,5,5,충렬왕,24,충렬왕,24,YEAR_MONTH,PARSED
ITKC_PH_1294A_0506,1298년(충렬왕 24) 5월,1298,1298,5,5,충렬왕,24,충렬왕,24,YEAR_MONTH,PARSED
ITKC_PH_1294A_0507,1298년(충렬왕 24) 8월,1298,1298,8,8,충렬왕,24,충렬왕,24,YEAR_MONTH,PARSED
ITKC_PH_1294A_0508,1299년(충렬왕 25) 1월,1299,1299,1,1,충렬왕,25,충렬왕,25,YEAR_MONTH,PARSED
ITKC_PH_1294A_0509,"1303년(충렬왕 29) 7월
~ 1303년(충렬왕 29) 10월",1303,1303,7,10,충렬왕,29,충렬왕,29,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0510,1304년(충렬왕 30) 5월,1304,1304,5,5,충렬왕,30,충렬왕,30,YEAR_MONTH,PARSED
ITKC_PH_1294A_0511,1304년(충렬왕 30) 6월,1304,1304,6,6,충렬왕,30,충렬왕,30,YEAR_MONTH,PARSED
ITKC_PH_1294A_0512,1306년(충렬왕 32) 9월,1306,1306,9,9,충렬왕,32,충렬왕,32,YEAR_MONTH,PARSED
ITKC_PH_1294A_0513,1313년(충선왕 5) 1월,1313,1313,1,1,충선왕,5,충선왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0514,1313년(충선왕 5) 3월,1313,1313,3,3,충선왕,5,충선왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0515,1314년(충숙왕 원년) 3월,1314,1314,3,3,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0516,1318년(충숙왕 5) 5월,1318,1318,5,5,충숙왕,5,충숙왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0517,1319년(충숙왕 6) 12월,1319,1319,12,12,충숙왕,6,충숙왕,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0518,1320년(충숙왕 7) 12월,1320,1320,12,12,충숙왕,7,충숙왕,7,YEAR_MONTH,PARSED
ITKC_PH_1294A_0520,"1320년(충숙왕 7) 12월
~ 1321년(충숙왕 8) 11월",1320,1321,12,11,충숙왕,7,충숙왕,8,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0519,1321년(충숙왕 8) 4월,1321,1321,4,4,충숙왕,8,충숙왕,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0521,1322년(충숙왕 9) 8월,1322,1322,8,8,충숙왕,9,충숙왕,9,YEAR_MONTH,PARSED
ITKC_PH_1294A_0522,1323년(충숙왕 10) 1월,1323,1323,1,1,충숙왕,10,충숙왕,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0523,1323년(충숙왕 10) 1월,1323,1323,1,1,충숙왕,10,충숙왕,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0524,1327년(충숙왕 14) 5월,1327,1327,5,5,충숙왕,14,충숙왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0525,1332년(충숙왕 후1) 2월,1332,1332,2,2,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0526,"1332년(충숙왕 후1) 2월
~ 1332년(충숙왕 후1) 3월",1332,1332,2,3,,,,,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0527,1339년(충숙왕 후8) 8월,1339,1339,8,8,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0528,1341년(충혜왕 후2) 12월,1341,1341,12,12,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0529,1342년(충혜왕 후3) 6월,1342,1342,6,6,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0530,1343년(충혜왕 후4) 3월,1343,1343,3,3,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0531,"1343년(충혜왕 후4) 11월
~ 1343년(충혜왕 후4) 12월",1343,1343,11,12,,,,,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0532,"1344년(충혜왕 후5) 2월
~ 1344년(충혜왕 후5) 윤2월",1344,1344,2,2,,,,,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0533,1346년(충목왕 2) 10월,1346,1346,10,10,충목왕,2,충목왕,2,YEAR_MONTH,PARSED
ITKC_PH_1294A_0534,"1347년(충목왕 3) 3월
~ 1347년(충목왕 3) 4월",1347,1347,3,4,충목왕,3,충목왕,3,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0535,1348년(충목왕 4) 1월,1348,1348,1,1,충목왕,4,충목왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0536,1348년(충목왕 4) 12월,1348,1348,12,12,충목왕,4,충목왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0537,1352년(공민왕 1) 3월,1352,1352,3,3,공민왕,1,공민왕,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0538,"1352년(공민왕 1) 9월
~ 1352년(공민왕 1) 10월",1352,1352,9,10,공민왕,1,공민왕,1,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0540,1354년(공민왕 3) 6월,1354,1354,6,6,공민왕,3,공민왕,3,YEAR_MONTH,PARSED
ITKC_PH_1294A_0541,1354년(공민왕 3) 7월,1354,1354,7,7,공민왕,3,공민왕,3,YEAR_MONTH,PARSED
ITKC_PH_1305A_0306,"1320년(충숙왕 7)
~ 1354년(공민왕 3)",1320,1354,,,충숙왕,7,공민왕,3,YEAR_RANGE,PARSED
ITKC_PH_1294A_0542,1355년(공민왕 4) 12월,1355,1355,12,12,공민왕,4,공민왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0543,1356년(공민왕 5) 5월,1356,1356,5,5,공민왕,5,공민왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0544,1356년(공민왕 5) 5월,1356,1356,5,5,공민왕,5,공민왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0545,1356년(공민왕 5) 6월,1356,1356,6,6,공민왕,5,공민왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0546,1357년(공민왕 6) 9월,1357,1357,9,9,공민왕,6,공민왕,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0547,"1359년(공민왕 8) 2월
~ 1360년(공민왕 9) 2월",1359,1360,2,2,공민왕,8,공민왕,9,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0549,1361년(공민왕 10) 11월,1361,1361,11,11,공민왕,10,공민왕,10,YEAR_MONTH,PARSED
ITKC_PH_1294A_0548,"1361년(공민왕 10) 10월
~ 1362년(공민왕 11) 1월",1361,1362,10,1,공민왕,10,공민왕,11,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0550,1362년(공민왕 11) 1월,1362,1362,1,1,공민왕,11,공민왕,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0551,1362년(공민왕 11) 1월,1362,1362,1,1,공민왕,11,공민왕,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0552,1362년(공민왕 11) 2월,1362,1362,2,2,공민왕,11,공민왕,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0553,1362년(공민왕 11) 7월,1362,1362,7,7,공민왕,11,공민왕,11,YEAR_MONTH,PARSED
ITKC_PH_1294A_0554,1363년(공민왕 12) 윤3월,1363,1363,3,3,공민왕,12,공민왕,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0555,1363년(공민왕 12) 5월,1363,1363,5,5,공민왕,12,공민왕,12,YEAR_MONTH,PARSED
ITKC_PH_1300A_0062,1477년(성종 8) 7월,1477,1477,7,7,성종,8,성종,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0556,1363년(공민왕 12) 12월,1363,1363,12,12,공민왕,12,공민왕,12,YEAR_MONTH,PARSED
ITKC_PH_1300A_0152,"1593년(선조 26) 6월 20일
~ 1593년(선조 26) 6월 26일",1593,1593,6,6,선조,26,선조,26,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0557,1364년(공민왕 13) 1월,1364,1364,1,1,공민왕,13,공민왕,13,YEAR_MONTH,PARSED
ITKC_PH_1294A_0558,1364년(공민왕 13) 3월,1364,1364,3,3,공민왕,13,공민왕,13,YEAR_MONTH,PARSED
ITKC_PH_1294A_0559,1365년(공민왕 14) 5월,1365,1365,5,5,공민왕,14,공민왕,14,YEAR_MONTH,PARSED
ITKC_PH_1300A_0233,"1637년(인조 15)
~ 1673년(현종 14)",1637,1673,,,인조,15,현종,14,YEAR_RANGE,PARSED
ITKC_PH_1294A_0560,1366년(공민왕 15) 5월,1366,1366,5,5,공민왕,15,공민왕,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0561,1366년(공민왕 15) 9월,1366,1366,9,9,공민왕,15,공민왕,15,YEAR_MONTH,PARSED
ITKC_PH_1294A_0562,1367년(공민왕 16) 5월,1367,1367,5,5,공민왕,16,공민왕,16,YEAR_MONTH,PARSED
ITKC_PH_1294A_0357,993년(성종 12) 윤10월,993,993,10,10,성종,12,성종,12,YEAR_MONTH,PARSED
ITKC_PH_1294A_0563,1367년(공민왕 16) 7월,1367,1367,7,7,공민왕,16,공민왕,16,YEAR_MONTH,PARSED
ITKC_PH_1294A_0564,1367년(공민왕 16) 10월,1367,1367,10,10,공민왕,16,공민왕,16,YEAR_MONTH,PARSED
ITKC_PH_1294A_0565,1368년(공민왕 17) 9월,1368,1368,9,9,공민왕,17,공민왕,17,YEAR_MONTH,PARSED
ITKC_PH_1294A_0566,1368년(공민왕 17) 10월,1368,1368,10,10,공민왕,17,공민왕,17,YEAR_MONTH,PARSED
ITKC_PH_1294A_0567,1369년(공민왕 18) 8월,1369,1369,8,8,공민왕,18,공민왕,18,YEAR_MONTH,PARSED
ITKC_PH_1294A_0568,1370년(공민왕 19) 1월,1370,1370,1,1,공민왕,19,공민왕,19,YEAR_MONTH,PARSED
ITKC_PH_1294A_0569,1370년(공민왕 19) 11월,1370,1370,11,11,공민왕,19,공민왕,19,YEAR_MONTH,PARSED
ITKC_PH_1294A_0570,1371년(공민왕 20) 7월,1371,1371,7,7,공민왕,20,공민왕,20,YEAR_MONTH,PARSED
ITKC_PH_1294A_0571,1372년(공민왕 21) 10월,1372,1372,10,10,공민왕,21,공민왕,21,YEAR_MONTH,PARSED
ITKC_PH_1294A_0572,1374년(공민왕 23) 1월,1374,1374,1,1,공민왕,23,공민왕,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0358,998년(목종 원년) 7월,998,998,7,7,,,,,YEAR_MONTH,PARSED
ITKC_PH_1294A_0573,1374년(공민왕 23) 9월,1374,1374,9,9,공민왕,23,공민왕,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0574,1374년(공민왕 23) 9월,1374,1374,9,9,공민왕,23,공민왕,23,YEAR_MONTH,PARSED
ITKC_PH_1294A_0575,1375년(우왕 1) 11월,1375,1375,11,11,우왕,1,우왕,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0576,1376년(우왕 2) 7월,1376,1376,7,7,우왕,2,우왕,2,YEAR_MONTH,PARSED
ITKC_PH_1294A_0577,1377년(우왕 3) 3월,1377,1377,3,3,우왕,3,우왕,3,YEAR_MONTH,PARSED
ITKC_PH_1294A_0578,1377년(우왕 3) 9월,1377,1377,9,9,우왕,3,우왕,3,YEAR_MONTH,PARSED
ITKC_PH_1294A_0579,1378년(우왕 4) 4월,1378,1378,4,4,우왕,4,우왕,4,YEAR_MONTH,PARSED
ITKC_PH_1294A_0580,1379년(우왕 5) 7월,1379,1379,7,7,우왕,5,우왕,5,YEAR_MONTH,PARSED
ITKC_PH_1294A_0581,1380년(우왕 6) 8월,1380,1380,8,8,우왕,6,우왕,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0582,1380년(우왕 6) 9월,1380,1380,9,9,우왕,6,우왕,6,YEAR_MONTH,PARSED
ITKC_PH_1294A_0583,1382년(우왕 8) 8월,1382,1382,8,8,우왕,8,우왕,8,YEAR_MONTH,PARSED
ITKC_PH_1294A_0584,1383년(우왕 9) 5월,1383,1383,5,5,우왕,9,우왕,9,YEAR_MONTH,PARSED
ITKC_PH_1294A_0585,1388년(우왕 14) 1월,1388,1388,1,1,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0586,1388년(우왕 14) 1월,1388,1388,1,1,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0587,1388년(우왕 14) 1월,1388,1388,1,1,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0588,1388년(우왕 14) 3월,1388,1388,3,3,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0589,1388년(우왕 14) 4월,1388,1388,4,4,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0590,"1388년(우왕 14) 5월
~ 1388년(우왕 14) 6월",1388,1388,5,6,우왕,14,우왕,14,YEAR_MONTH_RANGE,PARSED
ITKC_PH_1294A_0591,1388년(우왕 14) 6월,1388,1388,6,6,우왕,14,우왕,14,YEAR_MONTH,PARSED
ITKC_PH_1294A_0592,1389년(공양왕 1) 2월,1389,1389,2,2,공양왕,1,공양왕,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0593,1389년(공양왕 1) 4월,1389,1389,4,4,공양왕,1,공양왕,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0594,1389년(공양왕 1) 11월,1389,1389,11,11,공양왕,1,공양왕,1,YEAR_MONTH,PARSED
ITKC_PH_1294A_0595,1389년(공양왕 1) 11월,1389,1389,11,11,공양왕,1,공양왕,1,YEAR_MONTH,PARSED
