term_id,category_id,category_path,source_term_lk
8390223,CAT_00075,사회·생활>마을·촌락,사회·생활>마을·촌락
8390226,CAT_00215,사회·생활>풍속·의례>가정의례,사회·생활>풍속·의례>가정의례
8390230,CAT_00215,사회·생활>풍속·의례>가정의례,사회·생활>풍속·의례>가정의례
8390233,CAT_00215,사회·생활>풍속·의례>가정의례,사회·생활>풍속·의례>가정의례
8390240,CAT_00215,사회·생활>풍속·의례>가정의례,사회·생활>풍속·의례>가정의례
8390244,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390247,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390251,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390255,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390258,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390261,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390264,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390267,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390270,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390278,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390281,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390284,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390287,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390290,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390294,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390297,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390303,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390306,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390309,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390312,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390315,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390318,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390321,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390324,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390332,CAT_00070,문화·예술>음악,문화·예술>음악
8390335,CAT_00070,문화·예술>음악,문화·예술>음악
8390338,CAT_00070,문화·예술>음악,문화·예술>음악
8390340,CAT_00139,학술·과학기술>사회과학,학술·과학기술>사회과학
8390345,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390348,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390359,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390362,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390365,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390368,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390372,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390375,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390379,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390382,CAT_00210,사회·생활>일상생활>의생활,사회·생활>일상생활>의생활
8390386,CAT_00066,문화·예술>미술,문화·예술>미술
8390389,CAT_00337,전통사상·종교>유교>유교관련시설,전통사상·종교>유교>유교관련시설
8390392,CAT_00066,문화·예술>미술,문화·예술>미술
8390394,CAT_00070,문화·예술>음악,문화·예술>음악
8390396,CAT_00351,정치·행정·법제>정치>정치사건,정치·행정·법제>정치>정치사건
8390401,CAT_00006,문화재,문화재
8390404,CAT_00006,문화재,문화재
8390408,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390411,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390415,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390418,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390423,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390426,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390430,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390434,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390437,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390440,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390443,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
8390446,CAT_00066,문화·예술>미술,문화·예술>미술
8390450,CAT_00333,전통사상·종교>불교>불교관련시설,전통사상·종교>불교>불교관련시설
8390453,CAT_00333,전통사상·종교>불교>불교관련시설,전통사상·종교>불교>불교관련시설
8390456,CAT_00333,전통사상·종교>불교>불교관련시설,전통사상·종교>불교>불교관련시설
8390459,CAT_00006,문화재,문화재
8390471,CAT_00006,문화재,문화재
8390488,CAT_00006,문화재,문화재
8390492,CAT_00006,문화재,문화재
8390499,CAT_00006,문화재,문화재
8390503,CAT_00006,문화재,문화재
8390507,CAT_00006,문화재,문화재
8390511,CAT_00006,문화재,문화재
8390514,CAT_00006,문화재,문화재
8390518,CAT_00208,사회·생활>일상생활>생활용품,사회·생활>일상생활>생활용품
8390521,CAT_00066,문화·예술>미술,문화·예술>미술
8390529,CAT_00006,문화재,문화재
8390532,CAT_00132,정치·행정·법제>인사,정치·행정·법제>인사
8390535,CAT_00331,전통사상·종교>동학(천도교)>동학종파·용어,전통사상·종교>동학(천도교)>동학종파·용어
8390537,CAT_00052,국방·군사>군사방어시설,국방·군사>군사방어시설
8390542,CAT_00057,국방·군사>군직,국방·군사>군직
8390544,CAT_00191,국방·군사>군>특수군,국방·군사>군>특수군
8390548,CAT_00079,사회·생활>신분·계급,사회·생활>신분·계급
8390550,CAT_00132,정치·행정·법제>인사,정치·행정·법제>인사
8390569,CAT_00199,사회·생활>가족·친족>친족관계,사회·생활>가족·친족>친족관계
8390571,CAT_00354,정치·행정·법제>행정>지방행정기구,정치·행정·법제>행정>지방행정기구
8390578,CAT_00132,정치·행정·법제>인사,정치·행정·법제>인사
8390580,CAT_00132,정치·행정·법제>인사,정치·행정·법제>인사
8390586,CAT_00132,정치·행정·법제>인사,정치·행정·법제>인사
8390590,CAT_00057,국방·군사>군직,국방·군사>군직
8390592,CAT_00353,정치·행정·법제>행정>중앙행정기구,정치·행정·법제>행정>중앙행정기구
10486562,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)>>사회운동·독립운동>독립운동>항일무장투쟁
10486562,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>민족주의운동(독립)>>사회운동·독립운동>독립운동>항일무장투쟁
10486566,CAT_00237,사회운동·독립운동>사회운동>청년운동,사회운동·독립운동>사회운동>청년운동
10486568,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
10486571,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10486574,CAT_00185,교육>근대교육기관>초등교육기관,교육>근대교육기관>초등교육기관
10486576,CAT_00237,사회운동·독립운동>사회운동>청년운동,사회운동·독립운동>사회운동>청년운동
10486589,CAT_00125,전통사상·종교>종교기관·단체,전통사상·종교>종교기관·단체
10486593,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
10486596,CAT_00222,사회운동·독립운동>독립운동>민족주의운동(독립),사회운동·독립운동>독립운동>민족주의운동(독립)
10486600,CAT_00067,문화·예술>언론·출판,문화·예술>언론·출판
10486610,CAT_00066,문화·예술>미술,문화·예술>미술
10486613,CAT_00066,문화·예술>미술,문화·예술>미술
10486615,CAT_00030,경제·산업>수공업,경제·산업>수공업
10486618,CAT_00164,경제·산업>농업>토지제도,경제·산업>농업>토지제도
10486625,CAT_00313,재정·금융>재정>조세제도,재정·금융>재정>조세제도
10486628,CAT_00334,전통사상·종교>불교>불교사상·신앙,전통사상·종교>불교>불교사상·신앙
10486633,CAT_00313,재정·금융>재정>조세제도,재정·금융>재정>조세제도
10486642,CAT_00199,사회·생활>가족·친족>친족관계,사회·생활>가족·친족>친족관계
10486645,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
10486651,CAT_00066,문화·예술>미술,문화·예술>미술
10486655,CAT_00086,사회운동·독립운동>농민운동·항쟁,사회운동·독립운동>농민운동·항쟁
10486659,CAT_00138,학술·과학기술>공학·기술,학술·과학기술>공학·기술
10486662,CAT_00309,재정·금융>재정>세무행정,재정·금융>재정>세무행정
10486665,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
10486673,CAT_00108,외교·국제관계>재외동포·단체,외교·국제관계>재외동포·단체
10486676,CAT_00009,서명,서명
10486680,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
10486685,CAT_00227,사회운동·독립운동>독립운동>항일무장투쟁,사회운동·독립운동>독립운동>항일무장투쟁
10486687,CAT_00067,문화·예술>언론·출판,문화·예술>언론·출판
10486690,CAT_00179,교육>근대교육기관>고등교육기관,교육>근대교육기관>고등교육기관
10486697,CAT_00225,사회운동·독립운동>독립운동>의병운동,사회운동·독립운동>독립운동>의병운동
10486700,CAT_00039,교육>전근대교육기관,교육>전근대교육기관
10487044,CAT_00239,사회운동·독립운동>사회운동>학생운동,사회운동·독립운동>사회운동>학생운동
10487048,CAT_00184,교육>근대교육기관>중등교육기관,교육>근대교육기관>중등교육기관
10487052,CAT_00317,재정·금융>화폐·금융>금융정책·제도,재정·금융>화폐·금융>금융정책·제도
10487054,CAT_00063,문화·예술>문화시설,문화·예술>문화시설
10487057,CAT_00063,문화·예술>문화시설,문화·예술>문화시설
10487060,CAT_00345,정치·행정·법제>사법>사법기관,정치·행정·법제>사법>사법기관
10487068,CAT_00006,문화재,문화재
10487071,CAT_00220,사회·생활>풍속·의례>향촌의례,사회·생활>풍속·의례>향촌의례>>사회·생활>풍속·의례>풍속
10487071,CAT_00219,사회·생활>풍속·의례>풍속,사회·생활>풍속·의례>향촌의례>>사회·생활>풍속·의례>풍속
10487073,CAT_00009,서명,서명
10487077,CAT_00352,정치·행정·법제>정치>정치조직·단체,정치·행정·법제>정치>정치조직·단체
10487084,CAT_00063,문화·예술>문화시설,문화·예술>문화시설
10487087,CAT_00066,문화·예술>미술,문화·예술>미술
10487094,CAT_00061,문화·예술>문학,문화·예술>문학
10487096,CAT_00348,정치·행정·법제>입법>입법기관,정치·행정·법제>입법>입법기관
10487098,CAT_00348,정치·행정·법제>입법>입법기관,정치·행정·법제>입법>입법기관
10487105,CAT_00316,재정·금융>화폐·금융>금융기관·단체,재정·금융>화폐·금융>금융기관·단체
10487230,CAT_00233,사회운동·독립운동>사회운동>민주화운동,사회운동·독립운동>사회운동>민주화운동
10487237,CAT_00285,외교·국제관계>외교협상·협약>현대,외교·국제관계>외교협상·협약>현대
10487241,CAT_00285,외교·국제관계>외교협상·협약>현대,외교·국제관계>외교협상·협약>현대
10487244,CAT_00351,정치·행정·법제>정치>정치사건,정치·행정·법제>정치>정치사건
10487248,CAT_00285,외교·국제관계>외교협상·협약>현대,외교·국제관계>외교협상·협약>현대
10487250,CAT_00066,문화·예술>미술,문화·예술>미술
10487253,CAT_00231,사회운동·독립운동>사회운동>노동운동,사회운동·독립운동>사회운동>노동운동
10487256,CAT_00231,사회운동·독립운동>사회운동>노동운동,사회운동·독립운동>사회운동>노동운동
10487259,CAT_00104,외교·국제관계>외교분쟁,외교·국제관계>외교분쟁
10487262,CAT_00045,교통·통신>교통시설,교통·통신>교통시설
10487266,CAT_00059,국방·군사>전쟁·전투,국방·군사>전쟁·전투
10487270,CAT_00006,문화재,문화재
10487274,CAT_00070,문화·예술>음악,문화·예술>음악
10487277,CAT_00186,교육>근대교육기관>특수교육기관,교육>근대교육기관>특수교육기관
10487279,CAT_00160,경제·산업>농업>농업시설,경제·산업>농업>농업시설
10487282,CAT_00177,경제·산업>수산업>수산업일반,경제·산업>수산업>수산업일반
10487284,CAT_00171,경제·산업>상업·유통·서비스업>시장,경제·산업>상업·유통·서비스업>시장
10487286,CAT_00345,정치·행정·법제>사법>사법기관,정치·행정·법제>사법>사법기관
10487288,CAT_00345,정치·행정·법제>사법>사법기관,정치·행정·법제>사법>사법기관
10487290,CAT_00345,정치·행정·법제>사법>사법기관,정치·행정·법제>사법>사법기관
10487292,CAT_00129,정치·행정·법제>법·법령,정치·행정·법제>법·법령
10487296,CAT_00065,문화·예술>문화행사,문화·예술>문화행사
10487299,CAT_00065,문화·예술>문화행사,문화·예술>문화행사
10487304,CAT_00310,재정·금융>재정>예산·결산,재정·금융>재정>예산·결산
