source_record_id,source,source_key,source_release,source_metadata_json,graph_release_id
AKS:ARTICLE:E0001497:sha256-7515b6340166226d,AKS,E0001497,sha256-7515b6340166226d,"{""aliases"": [""군신(君臣)"", ""내촌(耐村)"", ""진녕군(晉寧君)""], ""definition"": ""조선 후기에, 한성부우윤, 순검사, 오도원수 등을 역임한 문신."", ""eid"": ""E0001497"", ""era"": ""조선/조선 전기 | 조선/조선 후기"", ""headword"": ""강홍립"", ""headword_origin"": ""강홍립(姜弘立)"", ""origin"": ""姜弘立"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001497""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001507:sha256-7515b6340166226d,AKS,E0001507,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""인천광역시 강화군에 있는 섬."", ""eid"": ""E0001507"", ""era"": ""미상"", ""headword"": ""강화도"", ""headword_origin"": ""강화도(江華島)"", ""origin"": ""江華島"", ""primary_type"": ""지명/자연지명"", ""primary_type_part"": ""지명"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001507""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001518:sha256-7515b6340166226d,AKS,E0001518,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""인천광역시 강화군에 있는 고려후기 몽골 침입 당시에 축조된  성곽. 산성."", ""eid"": ""E0001518"", ""era"": ""고려/고려 후기"", ""headword"": ""강화산성"", ""headword_origin"": ""강화산성(江華山城)"", ""origin"": ""江華山城"", ""primary_type"": ""유적"", ""primary_type_part"": ""유적"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001518""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001537:sha256-7515b6340166226d,AKS,E0001537,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선 후기, 학자 정제두가 강화도에서 양명학을 중심으로 형성한 유교학파."", ""eid"": ""E0001537"", ""era"": ""조선/조선 후기"", ""headword"": ""강화학파"", ""headword_origin"": ""강화학파(江華學派)"", ""origin"": ""江華學派"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001537""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001550:sha256-7515b6340166226d,AKS,E0001550,sha256-7515b6340166226d,"{""aliases"": [""경순(景醇)"", ""국오(菊塢)"", ""만송강(萬松岡)"", ""문량(文良)"", ""사숙재(私淑齋)"", ""운송거사(雲松居士)""], ""definition"": ""조선 전기에, 예조정랑, 이조참의, 진헌부사 등을 역임한 문신."", ""eid"": ""E0001550"", ""era"": ""조선/조선 전기"", ""headword"": ""강희맹"", ""headword_origin"": ""강희맹(姜希孟)"", ""origin"": ""姜希孟"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001550""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001554:sha256-7515b6340166226d,AKS,E0001554,sha256-7515b6340166226d,"{""aliases"": [""경우(景遇)"", ""인재(仁齋)""], ""definition"": ""조선 전기에, 호조참의, 황해도관찰사 등을 역임한 문신."", ""eid"": ""E0001554"", ""era"": ""조선/조선 전기"", ""headword"": ""강희안"", ""headword_origin"": ""강희안(姜希顔)"", ""origin"": ""姜希顔"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001554""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001581:sha256-7515b6340166226d,AKS,E0001581,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""신라 진흥왕 때의 연호."", ""eid"": ""E0001581"", ""era"": ""고대/삼국/신라"", ""headword"": ""개국"", ""headword_origin"": ""개국(開國)"", ""origin"": ""開國"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001581""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001584:sha256-7515b6340166226d,AKS,E0001584,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""나라를 세우는 데 왕을 도와 공이 많았던 사람에게 내린 칭호 또는 그 칭호를 받은 사람."", ""eid"": ""E0001584"", ""era"": ""조선/조선 전기"", ""headword"": ""개국공신"", ""headword_origin"": ""개국공신(開國功臣)"", ""origin"": ""開國功臣"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001584""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001585:sha256-7515b6340166226d,AKS,E0001585,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선 말기 갑오개혁 때 채택한 기년법(紀年法, 특정 연도를 기원으로 하여 햇수를 세는 방법)."", ""eid"": ""E0001585"", ""era"": ""조선/조선 후기"", ""headword"": ""개국기년"", ""headword_origin"": ""개국기년(開國紀年)"", ""origin"": ""開國紀年"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001585""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001616:sha256-7515b6340166226d,AKS,E0001616,sha256-7515b6340166226d,"{""aliases"": [""근개로왕""], ""definition"": ""백제의 제21대(재위: 455년~475년) 왕."", ""eid"": ""E0001616"", ""era"": ""고대/삼국/백제"", ""headword"": ""개로왕"", ""headword_origin"": ""개로왕(蓋鹵王)"", ""origin"": ""蓋鹵王"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001616""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001628:sha256-7515b6340166226d,AKS,E0001628,sha256-7515b6340166226d,"{""aliases"": [""그린벨트""], ""definition"": ""도시의 무질서한 확산 방지와 자연환경의 보전을 위하여 도시개발을 제한하도록 지정한 구역."", ""eid"": ""E0001628"", ""era"": ""현대"", ""headword"": ""개발제한구역"", ""headword_origin"": ""개발제한구역(開發制限區域)"", ""origin"": ""開發制限區域"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001628""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001734:sha256-7515b6340166226d,AKS,E0001734,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""우리 민족 최초 국가인 고조선 건국을 기념하기 위해 제정된 국경일."", ""eid"": ""E0001734"", ""era"": ""근대/일제강점기 | 현대"", ""headword"": ""개천절"", ""headword_origin"": ""개천절(開天節)"", ""origin"": ""開天節"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001734""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001743:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001743:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001743""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001753:sha256-7515b6340166226d,AKS,E0001753,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""19세기 이후, 세계 자본주의 시장 체제 아래에서 조약을 체결하여 외국인의 내왕과 무역을 위하여 개방한 항구."", ""eid"": ""E0001753"", ""era"": ""근대/개항기"", ""headword"": ""개항장"", ""headword_origin"": ""개항장(開港場)"", ""origin"": ""開港場"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001753""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001757:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001757:sha256-7515b6340166226d,sha256-7515b6340166226d,"{""evidence_kind"": ""OFFICIAL_DESCRIPTION"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001757""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001759:sha256-7515b6340166226d,AKS,E0001759,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선 후기 형성된 자주 근대화·변혁·진보를 지향하는 정치사상."", ""eid"": ""E0001759"", ""era"": ""조선/조선 후기"", ""headword"": ""개화사상"", ""headword_origin"": ""개화사상(開化思想)"", ""origin"": ""開化思想"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001759""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001760:sha256-7515b6340166226d,AKS,E0001760,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""개화를 실행하기 위하여 1880년대에 정부 주도로 추진한 정책."", ""eid"": ""E0001760"", ""era"": ""근대/개항기"", ""headword"": ""개화정책"", ""headword_origin"": ""개화정책(開化政策)"", ""origin"": ""開化政策"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001760""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001805:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001805:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001805""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001823:sha256-7515b6340166226d,AKS,E0001823,sha256-7515b6340166226d,"{""aliases"": [""삼도(三島)"", ""삼산도(三山島)"", ""거마도(巨磨島)"", ""해밀톤〔哈米𥫱)"", ""고초도"", ""보도 해일도""], ""definition"": ""전라남도 여수시 삼산면에 있는 섬."", ""eid"": ""E0001823"", ""era"": ""미상"", ""headword"": ""거문도"", ""headword_origin"": ""거문도(巨文島)"", ""origin"": ""巨文島"", ""primary_type"": ""지명/자연지명"", ""primary_type_part"": ""지명"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001823""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001891:sha256-7515b6340166226d,AKS,E0001891,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""역학적인 원리를 이용하여 무거운 물체를 들어올리는 데 사용하던 기구."", ""eid"": ""E0001891"", ""era"": ""조선/조선 전기 | 조선/조선 후기"", ""headword"": ""거중기"", ""headword_origin"": ""거중기(擧重機)"", ""origin"": ""擧重機"", ""primary_type"": ""물품"", ""primary_type_part"": ""물품"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001891""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001944:sha256-7515b6340166226d,AKS,E0001944,sha256-7515b6340166226d,"{""aliases"": [""거칠부지(居七夫智)"", ""거칠부지(居柒夫智)"", ""황종(荒宗)""], ""definition"": ""삼국시대 신라의 파진찬 · 상대등 등을 역임한 장수."", ""eid"": ""E0001944"", ""era"": ""고대/삼국"", ""headword"": ""거칠부"", ""headword_origin"": ""거칠부(居柒夫)"", ""origin"": ""居柒夫"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001944""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0001969:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0001969:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0001969""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002006:sha256-7515b6340166226d,AKS,E0002006,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""을미사변 이후, 김홍집 내각이 태양력 사용을 채택하면서 제정한 연호."", ""eid"": ""E0002006"", ""era"": ""근대/개항기"", ""headword"": ""건양"", ""headword_origin"": ""건양(建陽)"", ""origin"": ""建陽"", ""primary_type"": ""제도/법령·제도"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002006""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002011:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0002011:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002011""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002012:sha256-7515b6340166226d,AKS,AKS:ARTICLE:E0002012:sha256-7515b6340166226d,,"{""evidence_kind"": ""OFFICIAL_TEXT_CLAUSE"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002012""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002042:sha256-7515b6340166226d,AKS,E0002042,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""남북국시대 발해의 제10대 선왕의 연호."", ""eid"": ""E0002042"", ""era"": ""고대/남북국/발해"", ""headword"": ""건흥"", ""headword_origin"": ""건흥(建興)"", ""origin"": ""建興"", ""primary_type"": ""개념"", ""primary_type_part"": ""개념"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002042""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002050:sha256-7515b6340166226d,AKS,E0002050,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""608년(진평왕 30) 신라의 승려 원광(圓光)이 수나라의 군사를 청하기 위해 쓴 글."", ""eid"": ""E0002050"", ""era"": ""고대/삼국/신라"", ""headword"": ""걸사표"", ""headword_origin"": ""걸사표(乞師表)"", ""origin"": ""乞師表"", ""primary_type"": ""문헌/고서"", ""primary_type_part"": ""문헌"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002050""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002068:sha256-7515b6340166226d,AKS,E0002068,sha256-7515b6340166226d,"{""aliases"": [""겸모잠(鉗牟岑)""], ""definition"": ""삼국시대 때, 고구려 부흥 운동을 전개한 지도자."", ""eid"": ""E0002068"", ""era"": ""고대/삼국/고구려 | 고대/남북국"", ""headword"": ""검모잠"", ""headword_origin"": ""검모잠(劍牟岑)"", ""origin"": ""劍牟岑"", ""primary_type"": ""인물/전통 인물"", ""primary_type_part"": ""인물"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002068""}",korean-history-fact-graph-2026-07-27-contextual-v1
AKS:ARTICLE:E0002076:sha256-7515b6340166226d,AKS,E0002076,sha256-7515b6340166226d,"{""aliases"": [], ""definition"": ""조선 후기 규장각 소속의 관원."", ""eid"": ""E0002076"", ""era"": ""조선/조선 후기"", ""headword"": ""검서관"", ""headword_origin"": ""검서관(檢書官)"", ""origin"": ""檢書官"", ""primary_type"": ""제도/관직"", ""primary_type_part"": ""제도"", ""source_url"": ""https://encykorea.aks.ac.kr/Article/E0002076""}",korean-history-fact-graph-2026-07-27-contextual-v1
