entity_id,source_record_id,graph_release_id
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0342:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0342:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0343:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0343:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P004106:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P004106:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P022990:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P022990:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P027326:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P027326:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0344:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0344:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P001295:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P001295:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0345:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0345:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0346:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0346:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0347:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0347:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0348:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0348:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0350:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0350:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0351:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0351:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029200:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029200:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0352:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0352:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029237:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029237:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0354:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0354:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P013726:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P013726:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029148:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029148:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029291:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029291:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0355:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0355:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0356:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0356:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029309:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029309:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0359:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0359:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029213:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029213:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P064159:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P064159:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0360:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0360:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029201:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029201:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P061276:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P061276:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P061712:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P061712:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0361:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0361:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0362:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0362:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P011995:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P011995:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P061094:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P061094:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0363:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0363:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0366:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0366:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0367:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0367:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P000219:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P000219:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0369:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0369:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0371:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0371:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029344:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029344:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0372:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0372:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P029342:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P029342:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0373:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0373:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0374:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0374:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:EVENT:ITKC_PH_1294A_0377:sha256-b824cb8eb9575bbc,ITKC:EVENT:ITKC_PH_1294A_0377:sha256-b824cb8eb9575bbc,korean-history-fact-graph-2026-07-27-contextual-v1
provisional:source_record:ITKC:PERSON:P043911:sha256-2bfbf7f8ab4b1538,ITKC:PERSON:P043911:sha256-2bfbf7f8ab4b1538,korean-history-fact-graph-2026-07-27-contextual-v1
