exam_term_id,term,normalized_term,term_variants_json,resolution_case_ids_json,categories_json,entity_type_proposals_json,problem_count,problem_ids_json,source_link_status,normalization_policy_version,resolution_policy_version,search_text,resolution_status,target_count,target_resolution_status,exact_search_eligible,retrieval_eligible,fact_retrieval_eligible,terminal_fact_retrieval_eligible,graph_release_id
exam-term:00c4be94e8a1eaf65fd7,4군 6진,사군육진,"[""4군 6진""]","[""resolution-case:46e8e839442496d0fe5c"", ""resolution-case:bfc6d87cb8bf833bade5"", ""resolution-case:f80db3903ea44ec5be92""]","[""유적"", ""정책"", ""제도""]","[""Concept"", ""Heritage""]",4,"[""cj_v41_0120"", ""cj_v41_0343"", ""cj_v41_0395"", ""cj_v41_0727""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,4군 6진,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00dd97b127bd4e8b829f,만부교,만부교,"[""만부교""]","[""resolution-case:821f2f839b5276d8730a""]","[""유적""]","[""Heritage""]",4,"[""cj_v41_0815"", ""cj_v41_1058"", ""cj_v41_1298"", ""cj_v41_1400""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,만부교,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00ea1d3c921e8c032ae4,김창협,김창협,"[""김창협""]","[""resolution-case:06fe4c7f7d9d30460603""]","[""인물""]","[""Person""]",1,"[""cj_v41_0873""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,김창협,RESOLVED,1,UNIQUE,true,true,true,true,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00edfce7d8bb32ba4f4d,국민연금,국민연금,"[""국민연금""]","[""resolution-case:e7c3bc21cde487756479""]","[""제도""]","[""Concept""]",1,"[""cj_v41_0426""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,국민연금,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00f4f1d05f74132cd3b2,민응식,민응식,"[""민응식""]","[""resolution-case:5e3ed7fbc5fe80e4ba07""]","[""인물""]","[""Person""]",1,"[""cj_v41_0407""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,민응식,RESOLVED,1,UNIQUE,true,true,false,true,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00f8480779ae681e684e,고사관수도,고사관수도,"[""고사관수도""]","[""resolution-case:1ae6e5693756c28a3e65""]","[""문화재""]","[""Heritage""]",4,"[""cj_v41_1215"", ""cj_v41_img_51_27"", ""cj_v41_img_65_22"", ""cj_v41_img_76_27""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,고사관수도,RESOLVED,1,UNIQUE,true,true,true,true,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00f85d8aade2df0f940c,3·15 의거,삼일오의거,"[""3·15 의거""]","[""resolution-case:177904bdfcff65ace02f""]","[""사건""]","[""Event""]",2,"[""cj_v41_0190"", ""cj_v41_0800""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,3·15 의거,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00f8cb6958017d5c34db,충청,충청,"[""충청""]","[""resolution-case:f3a9d24f09c4f11d1952""]","[""지명""]","[""Place""]",1,"[""cj_v41_0228""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,충청,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:00ff332223c0829bedec,3선 개헌안,삼선개헌안,"[""3선 개헌안""]","[""resolution-case:5b793cfc9115b7ae250d""]","[""제도""]","[""Concept""]",1,"[""cj_v41_1333""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,3선 개헌안,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:011b6de5294311c73390,화통도감,화통도감,"[""화통도감""]","[""resolution-case:c8dbe515c743175eb798""]","[""기관""]","[""Institution""]",23,"[""cj_v41_0015"", ""cj_v41_0111"", ""cj_v41_0157"", ""cj_v41_0202"", ""cj_v41_0260"", ""cj_v41_0298"", ""cj_v41_0348"", ""cj_v41_0390"", ""cj_v41_0488"", ""cj_v41_0532"", ""cj_v41_0586"", ""cj_v41_0629"", ""cj_v41_0683"", ""cj_v41_0729"", ""cj_v41_0781"", ""cj_v41_0815"", ""cj_v41_0959"", ""cj_v41_1063"", ""cj_v41_1158"", ""cj_v41_1204"", ""cj_v41_1353"", ""cj_v41_1443"", ""cj_v41_1497""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,화통도감,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0120e70e8d5f734922ad,인조반정,인조반정,"[""인조반정""]","[""resolution-case:7586a09e9d5484cbf5f5""]","[""사건""]","[""Event""]",7,"[""cj_v41_0446"", ""cj_v41_0736"", ""cj_v41_0780"", ""cj_v41_0872"", ""cj_v41_1022"", ""cj_v41_1308"", ""cj_v41_1502""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,인조반정,RESOLVED,1,UNIQUE,true,true,true,true,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0130624e46070d78e782,함세웅,함세웅,"[""함세웅""]","[""resolution-case:80572aa2e050d90a69ce""]","[""인물""]","[""Person""]",1,"[""cj_v41_0995""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,함세웅,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:013de84ba3507be69711,항일 의병 운동,항일의병운동,"[""항일 의병 운동""]","[""resolution-case:6429c6f73072f5082398""]","[""사건""]","[""Event""]",1,"[""cj_v41_0411""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,항일 의병 운동,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0143e92b7e072b86d1c8,민며느리제,민며느리제,"[""민며느리제""]","[""resolution-case:a02c61f913de35f18b07""]","[""제도""]","[""Concept""]",15,"[""cj_v41_0002"", ""cj_v41_0048"", ""cj_v41_0098"", ""cj_v41_0334"", ""cj_v41_0667"", ""cj_v41_0714"", ""cj_v41_0902"", ""cj_v41_0998"", ""cj_v41_0999"", ""cj_v41_1048"", ""cj_v41_1096"", ""cj_v41_1145"", ""cj_v41_1288"", ""cj_v41_1435"", ""cj_v41_1484""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,민며느리제,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0146b1cfc88a9f7635a0,경술년,경술년,"[""경술년""]","[""resolution-case:a2fed5d75528c3a0fbc5""]","[""사건""]","[""Event""]",1,"[""cj_v41_1082""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,경술년,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0163f7858c8fde36d4a2,사라벌,사라벌,"[""사라벌""]","[""resolution-case:318b47065c684ed2b95c""]","[""지명""]","[""Place""]",1,"[""cj_v41_img_59_06""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,사라벌,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:017f7c2ad34520848514,수선사 결사,수선사결사,"[""수선사 결사""]","[""resolution-case:aabe9804a921d3c89d19""]","[""단체""]","[""Organization""]",3,"[""cj_v41_0060"", ""cj_v41_0728"", ""cj_v41_0865""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,수선사 결사,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:019249b6ef3d2d5eddde,나선,나선,"[""나선""]","[""resolution-case:2faba4a5090fc3133b7f""]","[""국가""]","[""Polity""]",1,"[""cj_v41_1502""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,나선,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01a387bf981207a04616,백제 산수문전,백제산수문전,"[""백제 산수문전""]","[""resolution-case:1d094a1c7af854d4340e""]","[""유물""]","[""Heritage""]",1,"[""cj_v41_img_76_04""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,백제 산수문전,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01aaa161e709bc76f3ce,논산,논산,"[""논산""]","[""resolution-case:13736c6cfaa73e2d0d5a""]","[""지명""]","[""Place""]",7,"[""cj_v41_0457"", ""cj_v41_0547"", ""cj_v41_0881"", ""cj_v41_0978"", ""cj_v41_1267"", ""cj_v41_1510"", ""cj_v41_img_47_15""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,논산,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01b1b9e673b49b982258,최의,최의,"[""최의""]","[""resolution-case:6927c3b1ee6f49308ab7""]","[""인물""]","[""Person""]",1,"[""cj_v41_0678""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,최의,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01bf24b6329aec34780c,적고적의 난,적고적의난,"[""적고적의 난""]","[""resolution-case:bbef6c276492abef8cb3""]","[""사건""]","[""Event""]",1,"[""cj_v41_0339""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,적고적의 난,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01c294caaf57458a452f,오산학교,오산학교,"[""오산학교""]","[""resolution-case:b6d12b2f4e29849919ef""]","[""기관""]","[""Institution""]",8,"[""cj_v41_0081"", ""cj_v41_0129"", ""cj_v41_0228"", ""cj_v41_0364"", ""cj_v41_0836"", ""cj_v41_0980"", ""cj_v41_1274"", ""cj_v41_1508""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,오산학교,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01cf91fd4ba4775c40bf,청군,청군,"[""청군""]","[""resolution-case:0f44236a27fd25600e13""]","[""기관""]","[""Institution""]",4,"[""cj_v41_0122"", ""cj_v41_0456"", ""cj_v41_1265"", ""cj_v41_1510""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,청군,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01d76b4043de7f40f27e,일본 제일은행권,일본제일은행권,"[""일본 제일은행권""]","[""resolution-case:4c903e5be38f0d6f66ad""]","[""유물""]","[""Heritage""]",1,"[""cj_v41_1280""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,일본 제일은행권,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01d9f8a8074eefce9364,복신,복신,"[""복신""]","[""resolution-case:480bf99476863b76e13a""]","[""인물""]","[""Person""]",13,"[""cj_v41_0006"", ""cj_v41_0052"", ""cj_v41_0104"", ""cj_v41_0244"", ""cj_v41_0479"", ""cj_v41_0525"", ""cj_v41_0571"", ""cj_v41_0716"", ""cj_v41_1001"", ""cj_v41_1052"", ""cj_v41_1200"", ""cj_v41_1246"", ""cj_v41_1438""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,복신,RESOLVED,1,UNIQUE,true,true,true,true,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:01fb096652e1e575e03c,중서문하성,중서문하성,"[""중서문하성""]","[""resolution-case:7b7fa63ad2d59f76f253""]","[""기관""]","[""Institution""]",6,"[""cj_v41_0059"", ""cj_v41_0112"", ""cj_v41_0154"", ""cj_v41_0582"", ""cj_v41_0964"", ""cj_v41_1304""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,중서문하성,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:020bb1b128557a1676b4,대무예,대무예,"[""대무예""]","[""resolution-case:5e824598c237aa8d3100""]","[""인물""]","[""Person""]",2,"[""cj_v41_0005"", ""cj_v41_0246""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,대무예,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:021eda172bb030a28889,상록수,상록수,"[""상록수""]","[""resolution-case:25a91fe9e597c8951c6a""]","[""문헌""]","[""Work""]",5,"[""cj_v41_0184"", ""cj_v41_0513"", ""cj_v41_0936"", ""cj_v41_1231"", ""cj_v41_1326""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,상록수,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0242203359f0968fcb56,함평 고구마 피해 보상 운동,함평고구마피해보상운동,"[""함평 고구마 피해 보상 운동""]","[""resolution-case:d0fdc7f46f98437823b7""]","[""사건""]","[""Event""]",2,"[""cj_v41_0802"", ""cj_v41_1382""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,함평 고구마 피해 보상 운동,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0243b9012963aaaa4445,사비성,사비성,"[""사비성""]","[""resolution-case:6dbeaa8b837492d0d9a4""]","[""유적""]","[""Heritage""]",3,"[""cj_v41_0383"", ""cj_v41_0525"", ""cj_v41_0571""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,사비성,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:0254f4b12185e268c4c4,한중 자유무역협정,한중자유무역협정,"[""한중 자유무역협정""]","[""resolution-case:4b8c76479aac464036f6""]","[""조약""]","[""Work""]",2,"[""cj_v41_0615"", ""cj_v41_1431""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,한중 자유무역협정,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02600c8069bc566bbd8d,황룡촌 전투,황룡촌전투,"[""황룡촌 전투""]","[""resolution-case:16204da617cd6636cf14""]","[""사건""]","[""Event""]",3,"[""cj_v41_0031"", ""cj_v41_0978"", ""cj_v41_1267""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,황룡촌 전투,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:027195e4ecc6ed57592f,대법원장,대법원장,"[""대법원장""]","[""resolution-case:65b9401e9ae216b50aaf""]","[""제도""]","[""Concept""]",1,"[""cj_v41_0372""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,대법원장,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:027ea3c19349969cf526,단군왕검,단군왕검,"[""단군왕검""]","[""resolution-case:a4ccb591afa0306e244e""]","[""인물""]","[""Person""]",3,"[""cj_v41_0475"", ""cj_v41_0570"", ""cj_v41_1288""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,단군왕검,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:029b804a541ed3cf39f4,공험진,공험진,"[""공험진""]","[""resolution-case:1ffcbda4bd5d8c0d1fc9"", ""resolution-case:93ed46893f4d242b0afb""]","[""유적"", ""지명""]","[""Heritage"", ""Place""]",4,"[""cj_v41_0721"", ""cj_v41_0960"", ""cj_v41_1009"", ""cj_v41_1058""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,공험진,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02b2c0eacd293ce7d20f,이괄의 난,이괄의난,"[""이괄의 난""]","[""resolution-case:23bff48e5725ad9abb5f""]","[""사건""]","[""Event""]",11,"[""cj_v41_0019"", ""cj_v41_0067"", ""cj_v41_0119"", ""cj_v41_0165"", ""cj_v41_0614"", ""cj_v41_0972"", ""cj_v41_1213"", ""cj_v41_1261"", ""cj_v41_1359"", ""cj_v41_1458"", ""cj_v41_1498""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,이괄의 난,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02be6df77f75399519bc,독재 타도,독재타도,"[""독재 타도""]","[""resolution-case:b28d45a481e0934e893a"", ""resolution-case:cba9cd8ec7ffb9d329a8""]","[""사건"", ""사상""]","[""Concept"", ""Event""]",4,"[""cj_v41_0331"", ""cj_v41_0658"", ""cj_v41_1093"", ""cj_v41_1384""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,독재 타도,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02cc42abc0152bf99c92,사정전,사정전,"[""사정전""]","[""resolution-case:7952e1f2b431ac002b8f""]","[""문화재""]","[""Heritage""]",1,"[""cj_v41_0063""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,사정전,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02d5b2bcd766088cc9ae,나석주 의거,나석주의거,"[""나석주 의거""]","[""resolution-case:6167f6824336690c2aa3""]","[""사건""]","[""Event""]",1,"[""cj_v41_0370""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,나석주 의거,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02df56998f20235d626b,쿠빌라이,쿠빌라이,"[""쿠빌라이""]","[""resolution-case:6a451114aa8338040d35""]","[""인물""]","[""Person""]",1,"[""cj_v41_0250""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,쿠빌라이,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02e10177cb843dc46509,왕검성,왕검성,"[""왕검성""]","[""resolution-case:6db30be669f0ec073ae4"", ""resolution-case:d6e592ac5b4bddae7ed9""]","[""유적"", ""지명""]","[""Heritage"", ""Place""]",5,"[""cj_v41_0521"", ""cj_v41_0855"", ""cj_v41_0998"", ""cj_v41_1194"", ""cj_v41_1338""]",MULTIPLE_ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,왕검성,AMBIGUOUS,2,AMBIGUOUS,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02e21f475d30936d21f5,왜군,왜군,"[""왜군""]","[""resolution-case:41957ac7aedd4b2cfdf6""]","[""기관""]","[""Institution""]",2,"[""cj_v41_1345"", ""cj_v41_1528""]",PENDING,history-term-v2.0,entity-resolution-candidate-v2.4,왜군,UNRESOLVED,0,UNRESOLVED,false,false,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02e4ccadefe28edea2eb,심행일기,심행일기,"[""심행일기""]","[""resolution-case:6b046e07f18ccbcabad5""]","[""문헌""]","[""Work""]",3,"[""cj_v41_0497"", ""cj_v41_0786"", ""cj_v41_0988""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,심행일기,RESOLVED,1,UNIQUE,true,true,false,false,korean-history-fact-graph-2026-07-27-contextual-v5
exam-term:02e59f5f1ac14425d6a8,황보인,황보인,"[""황보인""]","[""resolution-case:55fb9904df3c506dcb23""]","[""인물""]","[""Person""]",2,"[""cj_v41_0209"", ""cj_v41_0778""]",ACCEPTED,history-term-v2.0,entity-resolution-candidate-v2.4,황보인,RESOLVED,1,UNIQUE,true,true,false,true,korean-history-fact-graph-2026-07-27-contextual-v5
